Consistent ^jj++++=Consistent
with ^in++++=with
previous ^jj+atrb+++=previous
research ^nn++++=research
on ^in++++=on
empathy ^nn+++??+=empathy-altruism
- ^zz++++=EXTRAWORD
altruism ^nn+nom+++=EXTRAWORD
theory ^nn++++=theory
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
role ^nn++++=role
models ^nns++++=models
in ^in++++=in
society ^nn++++=society
influenced ^vwbn+++xvbn+=influenced
people ^nns++++=people
to ^to++++=to
exhibit ^vbi++++=exhibit
prosocial ^jj+atrb+++=prosocial
behavior ^nn++++=behavior
( ^zz++++=(Van
van ^&fw++++=EXTRAWORD
Kleef ^np+++??+=Kleef
& ^zz++++=&
Lelieveld ^np+++??+=Lelieveld,
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022
) ^zz++++=).
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
surprisingly ^rb+cnj+++=surprisingly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
theme ^nn++++=theme
extended ^vbd+++xvbn+=extended
the ^ati++++=the
empathy ^nn+++??+=empathy-altruism
- ^zz++++=EXTRAWORD
altruism ^nn+nom+++=EXTRAWORD
theory ^nn++++=theory
in ^in++++=in
the ^ati++++=the
theory ^nn++++=theory
of ^in++++=of
planned ^jj+atrb++xvbn+=planned
behavior ^nn++++=behavior
( ^zz++++=(Hurd
hurd ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
observed ^vpsv++tht0+xvbnx+=observed
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
role ^nn++++=role
models ^nns++++=models
directly ^rb++++=directly
influenced ^vbd+++xvbn+=influenced
the ^ati++++=the
attitude ^nn++++=attitude
of ^in++++=of
individuals ^nns+nom+++=individuals
towards ^in++++=towards
helping ^xvbg+++xvbg+=helping
the ^ati++++=the
underprivileged ^nn++++=underprivileged.
. ^zz++++=EXTRAWORD
The ^ati++++=The
finding ^jj+++xvbg+=finding
also ^rb++++=also
fits ^vbz++++=fits
with ^in++++=with
the ^ati++++=the
established ^jj+atrb++xvbn+=established
theory ^nn++++=theory
of ^in++++=of
social ^jj+atrb+++=social
learning ^nvbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
positive ^jj+atrb+++=positive
role ^nn++++=role
model ^nn++++=model
behavior ^nn++++=behavior
contributes ^vbz++++=contributes
towards ^in++++=towards
attitudinal ^jj+atrb+++=attitudinal
change ^nn++++=change
in ^in++++=in
privileged ^jj+atrb+++=privileged
class ^nn++++=class
behavior ^nn++++=behavior
( ^zz++++=(Van
van ^&fw++++=EXTRAWORD
Hoorn ^np+++??+=Hoorn
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
By ^in++++=By
modeling ^nn+nom+++=modeling
prosocial ^jj+atrb+++=prosocial
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
role ^nn++++=role
models ^nns++++=models
taught ^vwbn+vsua++xvbn+=taught
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
privileged ^jj+atrb+++=privileged
class ^nn++++=class
how ^wrb+who+++=how
to ^in++++=to
socially ^rb++++=socially
interact ^vb+++??+=interact
with ^in++++=with
people ^nns++++=people
in ^in++++=in
need ^nn++++=need.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
witness ^nns+nom+++=witness
their ^pp$+pp3+++=their
role ^nn++++=role
models ^nns++++=models
being ^xvbg+++xvbg+=being
rewarded ^vpsv++agls+xvbn+=rewarded
for ^in++++=for
their ^pp$+pp3+++=their
prosocial ^jj+atrb+++=prosocial
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
vicariously ^jj++++=vicariously
learn ^vb+vprv+++=learn
about ^in++++=about
the ^ati++++=the
benefits ^nns++++=benefits
associated ^vbd+++xvbn+=associated
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Exposure ^nn++++=Exposure
to ^in++++=to
role ^nn++++=role
models ^nns++++=models
prosocial ^jj+atrb+++=prosocial
behavior ^nn++++=behavior
in ^in++++=in
the ^ati++++=the
region ^nn++++=region
of ^in++++=of
Punjab ^np+++??+=Punjab,
, ^zz++++=EXTRAWORD
Pakistan ^np+nom+++=Pakistan
may ^md+pos+++=may
help ^vb++++=help
to ^to+vcmp+++=to
build ^vbi++++=build
an ^at++++=an
on ^in++++=on-going
- ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=EXTRAWORD
welfare ^nn++++=welfare
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
