Critical ^jj+atrb+++=Critical
social ^jj+atrb+++=social
psychology ^nn++++=psychology
assumes ^vbz+vprv+++=assumes
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
as ^ql++++=as
psychologists ^nns+nom+++=psychologists,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
recognize ^vb+vprv+++=recognize
that ^tht+vcmp+++=that
our ^pp$+pp1+++=our
science ^nn+nom+++=science
and ^cc++++=and
the ^ati++++=the
narratives ^nns++++=narratives
we ^pp1a+pp1+++=we
generate ^nn+nom+++=generate
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
coconstruction ^nn+nom+++=coconstruction
of ^in++++=of
reality ^nn+nom+++=reality.
. ^zz++++=EXTRAWORD
As ^in++++=As
stated ^nn++++=stated
by ^in++++=by
Reicher ^np+++??+=Reicher
( ^zz++++=(
2004 ^cd++++=2004
) ^zz++++=),
, ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
theory ^nn++++=theory
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
only ^rb+down+++=only
a ^at++++=a
commentary ^nn+nom+++=commentary
on ^in++++=on
the ^ati++++=the
world ^nn++++=world
and ^cc+cls+++=and
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
behave ^vb++++=behave
within ^in++++=within
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
part ^nn++++=part
of ^in++++=of
our ^pp$+pp1+++=our
world ^nn++++=world
and ^cc++++=and
serves ^vbz++++=serves
to ^in++++=to
shape ^nn++++=shape
our ^pp$+pp1+++=our
own ^ap++++=own
self ^nn++++=self-understandings
- ^zz++++=EXTRAWORD
understandings ^nns++++=EXTRAWORD
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
942 ^cd++++=942).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
psychological ^jj+atrb+++=psychological
theory ^nn++++=theory
constructs ^vbz++++=constructs
human ^jj+atrb+++=human
nature ^nn++++=nature
as ^in++++=as
laden ^nn++++=laden
with ^in++++=with
deficits ^nns++++=deficits
that ^tht+rel+subj++=that
limit ^vb++++=limit
our ^pp$+pp1+++=our
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
take ^vbi++++=take
action ^nn++++=action
on ^in++++=on
climate ^nn+nom+++=climate
change ^nn++++=change,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
likewise ^rb+cnj+++=likewise
fails ^vbz++++=fails
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
the ^ati++++=the
social ^jj+atrb+++=social
and ^cc+phrs+++=and
structural ^jj+atrb+++=structural
context ^nn++++=context
in ^in++++=in
which ^whp+rel+pied++=which
human ^jj+atrb+++=human
psychology ^nn++++=psychology
operates ^nns+nom+++=operates,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
run ^vbd+++xvbn+=run
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
eliminating ^xvbg+++xvbg+=eliminating
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
social ^jj+atrb+++=social
change ^nn++++=change
by ^in++++=by
pushing ^xvbg+++xvbg+=pushing
it ^pp3+it+++=it
beyond ^in++++=beyond
the ^ati++++=the
human ^jj+atrb+++=human
imagination ^nn+nom+++=imagination
( ^zz++++=(Reicher,
reicher ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
Indeed ^qlp++++=Indeed,
, ^zz++++=EXTRAWORD
people ^nns++++=people
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
engage ^vbi++++=engage
in ^in++++=in
collective ^jj+atrb+++=collective
action ^nn++++=action
the ^ati++++=the
more ^ql++++=more
they ^pp3a+pp3+++=they
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
status ^nn++++=status
quo ^&fw++++=quo
is ^vbz+bez+vrb++=is
changeable ^jj+pred+++=changeable
and ^cc+phrs+++=and
illegitimate ^jj++++=illegitimate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
how ^wrb+who+whcl++=how
the ^ati++++=the
world ^nn++++=world
could ^md+pos+++=could
be ^vb+be+vrb++=be
different ^jj+pred+++=different
( ^zz++++=(Reicher
reicher ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Haslam ^np+++??+=Haslam,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Tajfel ^np+++??+=Tajfel
& ^zz++++=&
Turner ^np++++=Turner,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pbe ^np+++??+=PBE,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
risks ^nns++++=risks
undermining ^vwbg+++xvbg+=undermining
environmental ^jj+atrb+++=environmental
collective ^jj+atrb+++=collective
action ^nn++++=action
by ^in++++=by
making ^xvbg+++xvbg+=making
the ^ati++++=the
environmental ^jj+atrb+++=environmental
status ^nn++++=status
quo ^&fw++++=quo
seem ^vb+seem+++=seem
like ^in++++=like
a ^at++++=a
natural ^jj+atrb+++=natural
consequence ^nn+nom+++=consequence
of ^in++++=of
human ^jj+atrb+++=human
psychology ^nn++++=psychology.
. ^zz++++=EXTRAWORD
Alternative ^jj+atrb+++=Alternative
worlds ^nns++++=worlds
seem ^vb+seem+++=seem
less ^rbr++++=less
possible ^jj++++=possible
if ^cs+cnd+++=if
the ^ati++++=the
current ^jj+atrb+++=current
reality ^nn+nom+++=reality
is ^vbz+bez+vrb++=is
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
deficits ^nns++++=deficits
in ^in++++=in
human ^jj+atrb+++=human
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
