Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
collection ^nn++++=collection
of ^in++++=of
debate ^nn++++=debate
documents ^nns++++=documents
was ^vbd+bedz+aux++=was
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
several ^ap++++=several
processing ^jj+atrb++xvbg+=processing
steps ^nns++++=steps:
: ^zz++++=EXTRAWORD
( ^zz++++=(
1 ^zz++++=1
) ^zz++++=)
Strip ^vb++++=Strip
html ^nn+++??+=html
. ^zz++++=.
html ^nn+++??+=html
tags ^nns++++=tags
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
to ^to++++=to
leave ^vbi++++=leave
only ^rb+down+++=only
the ^ati++++=the
text ^nn++++=text.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2 ^zz++++=2
) ^zz++++=)
Clean ^jj+atrb+++=Clean
headers ^nns+++??+=headers
. ^zz++++=.
Page ^nn++++=Page
headers ^nns+++??+=headers,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
include ^vb++++=include
page ^nn++++=page
numbers ^nns++++=numbers
and ^cc++++=and
other ^ap++++=other
metadata ^nn+++??+=metadata,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
and ^cc+phrs+++=and
eliminated ^vbd+++xvbn+=eliminated.
. ^zz++++=EXTRAWORD
( ^zz++++=(
3 ^zz++++=3
) ^zz++++=)
Clean ^jj+atrb+++=Clean
asides ^nns++++=asides
. ^zz++++=.
Asides ^np+++??+=Asides
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
utterances ^nns++++=utterances,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
applause ^nn++++=applause,
, ^zz++++=EXTRAWORD
protest ^nn++++=protest
and ^cc++++=and
laughter ^nn++++=laughter,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
and ^cc+phrs+++=and
eliminated ^vbd+++xvbn+=eliminated.
. ^zz++++=EXTRAWORD
( ^zz++++=(
4 ^zz++++=4
) ^zz++++=)
Detect ^vb++++=Detect
session ^nn++++=session
end ^nn++++=end
. ^zz++++=.
Debate ^vb++++=Debate
transcriptions ^nns+++??+=transcriptions
include ^vb++++=include
a ^at++++=a
section ^nn++++=section
after ^cs+sub+++=after
the ^ati++++=the
President ^nn++++=President
of ^in++++=of
the ^ati++++=the
Assembly ^nn++++=Assembly
closes ^vbz++++=closes
the ^ati++++=the
session ^nn++++=session;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
marked ^vpsv++by+xvbnx+=marked
by ^in++++=by
an ^at++++=an
expression ^nn++++=expression
indicating ^vwbg+vprv++xvbg+=indicating
the ^ati++++=the
time ^nn++++=time
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Eram ^np+++??+=Eram
18 ^cd++++=18
horas ^nns+++??+=horas
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
Portuguese ^nn++++=Portuguese
for ^in++++=for
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
6 ^zz++++=6
pm ^nn+++??+=pm
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
marked ^vbd+++xvbn+=marked
