Together ^rb+cnj+++=Together,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
three ^cd++++=three
corpora ^nn+++??+=corpora
allow ^vb++++=allow
a ^at++++=a
time ^nn++++=time
depth ^nn++++=depth
of ^in++++=of
about ^in++++=about
sixty ^cd++++=sixty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years
and ^cc++++=and
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
at ^rb++++=at
roughly ^rb+down+++=roughly
thirty ^cd++++=thirty-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
intervals ^nns++++=intervals,
, ^zz++++=EXTRAWORD
i.e ^rb++++=i.e.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
span ^nn++++=span
of ^in++++=of
a ^at++++=a
generation ^nn++++=generation.
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1
, ^zz++++=,
the ^ati++++=the
corpora ^nn+++??+=corpora
and ^cc++++=and
their ^pp$+pp3+++=their
components ^nns++++=components
are ^vb+ber+vrb++=are
nearly ^rb+down+++=nearly
identical ^jj+pred+++=identical
in ^in++++=in
size ^nn++++=size
but ^cc++++=but
differ ^vb++++=differ
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
individual ^jj+atrb+++=individual
texts ^nns++++=texts
they ^pp3a+pp3+++=they
contain ^vb++++=contain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
1968 ^cd+date+++=1968
material ^nn++++=material
stands ^vbz++++=stands
out ^rp+pl+++=out
as ^ql++++=as
containing ^jj+++xvbg+=containing
fewer ^ap++++=fewer
( ^zz++++=(and
and ^cc+cls+++=EXTRAWORD
therefore ^rb+cnj+++=therefore
longer ^rbr++++=longer)
) ^zz++++=EXTRAWORD
articles ^nns++++=articles
than ^in++++=than
the ^ati++++=the
other ^ap++++=other
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
The ^ati++++=The
implication ^nn++++=implication
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
relatively ^rb++++=relatively
small ^jj+atrb+++=small
size ^nn++++=size
of ^in++++=of
the ^ati++++=the
corpora ^nn+++??+=corpora,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
special ^jj+atrb+++=special
attention ^nn++++=attention
must ^md+nec+++=must
be ^vb+be+aux++=be
paid ^vpsv++agls+xvbnx+=paid
to ^in++++=to
individual ^jj+atrb+++=individual
texts ^nns++++=texts
and ^cc++++=and
authors ^nns++++=authors
as ^ql++++=as
potential ^jj+atrb+++=potential
confounding ^nn+++??+=confounding
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
as ^ql++++=as
regards ^vbz++++=regards
editorials ^nns+++??+=editorials.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reporting ^nn++++=reporting
of ^in++++=of
the ^ati++++=the
results ^nns++++=results
in ^in++++=in
section ^nn++++=section
4 ^zz++++=4
takes ^vbz++++=takes
those ^dt+dem+++=those
factors ^nns++++=factors
into ^in++++=into
account ^nn++++=account.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
articles ^nns++++=articles
in ^in++++=in
1939 ^cd+date+++=1939
and ^cc++++=and
1968 ^cd+date+++=1968
were ^vbd+bed+aux++=were
generally ^rb+down+++=generally
not ^xnot++not++=not
signed ^vbd+++xvbn+=signed
restricts ^vbz++++=restricts
any ^dti++++=any
further ^jjb+atrb+++=further
analysis ^nn++++=analysis
of ^in++++=of
potentially ^rb++++=potentially
idiolectal ^jj+atrb++??+=idiolectal
traits ^nns++++=traits.
. ^zz++++=EXTRAWORD
The ^ati++++=The
texts ^nns++++=texts
offer ^nn++++=offer
no ^at++++=no
information ^nn++++=information
on ^in++++=on
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
indians ^nn++++=Indians
and ^cc++++=and
colonists ^vbz++++=colonists
employed ^vpsv++by+xvbn+=employed
by ^in++++=by
the ^ati++++=the
newspaper ^nn++++=newspaper.
. ^zz++++=EXTRAWORD
