Our ^pp$+pp1+++=Our
corpus ^nn++++=corpus
adds ^vbz+vpub+++=adds
to ^in++++=to
an ^at++++=an
ongoing ^nn+++??+=ongoing
effort ^nn++++=effort
to ^in+ncmp+++=to
annotate ^jj+atrb++??+=annotate
plenary ^jj+atrb+++=plenary
debates ^nns++++=debates
of ^in++++=of
several ^ap++++=several
European ^jj+atrb+++=European
Parliaments ^np+++??+=Parliaments.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
multi ^nn+++??+=multi-party
- ^zz++++=EXTRAWORD
party ^nn++++=EXTRAWORD
system ^nn++++=system
with ^in++++=with
little ^jj+atrb+++=little
freedom ^nn++++=freedom
of ^in++++=of
vote ^nn++++=vote,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Portuguese ^jj+atrb+++=Portuguese
Parliament ^nn++++=Parliament
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
interesting ^jj+pred+++=interesting
for ^in++++=for
comparative ^jj+atrb+++=comparative
political ^jj+atrb+++=political
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
effort ^nn++++=effort
was ^vbd+bedz+vrb++=was
also ^rb++++=also
complemented ^nn+++??+=complemented
with ^in++++=with
a ^at++++=a
web ^nn++++=web
platform ^nn++++=platform
with ^in++++=with
a ^at++++=a
simple ^jj+atrb+++=simple
user ^nn++++=user
interface ^nn+++??+=interface,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
allows ^vbz++++=allows
for ^in+ppvb+++=for
searches ^nns++++=searches
and ^cc++++=and
simple ^jj+atrb+++=simple
longitudinal ^jj+atrb+++=longitudinal
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
access ^nn++++=access
is ^vbz+bez+vrb++=is
free ^jj+pred+++=free
and ^cc+phrs+++=and
interested ^jj+atrb+++=interested
parties ^nns++++=parties
should ^md+nec+++=should
contact ^vb++++=contact
the ^ati++++=the
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
