Lastly ^rb+cnj+++=Lastly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
discuss ^vb++++=discuss
two ^cd++++=two
studies ^nns++++=studies
that ^tht+rel+subj++=that
used ^xvbn+++xvbn+=used
L2 ^np+++??+=L2
spoken ^vbd+++xvbn+=spoken
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+pdem+++=that
studies ^vbz++++=studies
on ^in++++=on
L2 ^np+++??+=L2
spoken ^vbd+++xvbn+=spoken
language ^nn++++=language
are ^vb+ber+vrb++=are
still ^rb++++=still
under ^in++++=under-represented
- ^zz++++=EXTRAWORD
represented ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
lcr ^nn+++??+=lcr
, ^zz++++=,
they ^pp3a+pp3+++=they
deserve ^vb++++=deserve
a ^at++++=a
mention ^nn++++=mention
in ^in++++=in
our ^pp$+pp1+++=our
review ^nn++++=review.
. ^zz++++=EXTRAWORD
Vine ^np+++??+=Vine
( ^zz++++=(2013
2013 ^cd++++=EXTRAWORD
, ^zz++++=,
2015 ^cd++++=2015
) ^zz++++=)
looked ^xvbn+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
high ^jj+atrb+++=high
frequency ^nn++++=frequency,
, ^zz++++=EXTRAWORD
category ^nn++++=category-ambiguous
- ^zz++++=EXTRAWORD
ambiguous ^jj+atrb+++=EXTRAWORD
words ^nns++++=words
in ^in++++=in
L1 ^np+++??+=L1
and ^cc++++=and
L2 ^np+++??+=L2,
, ^zz++++=EXTRAWORD
written ^jj+atrb++xvbn+=written
and ^cc+phrs+++=and
spoken ^jj+atrb++xvbn+=spoken
corpora ^nn+++??+=corpora,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
corpus ^nn++++=corpus
of ^in++++=of
coursebook ^nn+++??+=coursebook
texts ^nns++++=texts.
. ^zz++++=EXTRAWORD
Category ^nn++++=Category
ambiguous ^jj+atrb+++=ambiguous
words ^nns++++=words
are ^vb+ber+vrb++=are
words ^nns++++=words
that ^tht+rel+subj++=that
have ^vb+hv+vrb++=have
one ^cd1++++=one
form ^nn++++=form
but ^cc++++=but
different ^jj++++=different
grammatical ^jj++++=grammatical
uses ^vbz++++=uses
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
like ^in++++=like
as ^ql++++=as
a ^at++++=a
preposition ^nn+++??+=preposition
versus ^in++++=versus
as ^ql++++=as
a ^at++++=a
verb ^nn++++=verb).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vine ^np+++??+=Vine
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
used ^vbd+++xvbn+=used
the ^ati++++=the
Louvain ^np+++??+=Louvain
International ^jj+atrb+++=International
Database ^np+++??+=Database
of ^in++++=of
Spoken ^vprf+++xvbn+=Spoken
English ^jj+atrb+++=English
Interlanguage ^np+++??+=Interlanguage
( ^zz++++=(
lindsei ^nn+++??+=lindsei
; ^zz++++=;
see ^vb+vprv+++=see
Gilquin ^np+++??+=Gilquin
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
[ ^zz++++=[2010])
2010 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
icle ^nn+++??+=icle
( ^zz++++=(ICLEv2;
iclev2 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
Granger ^np++++=Granger
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
[ ^zz++++=[eds,
eds ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
L2 ^np+++??+=L2
data ^nns++++=data
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Substantial ^jj+atrb+++=Substantial
variation ^nn++++=variation
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
ambiguous ^jj+atrb+++=ambiguous
words ^nns++++=words
within ^in++++=within
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
corpora ^nn++++=corpora
considered ^vwbn+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
some ^dti++++=some
words ^nns++++=words
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
like ^in++++=like
) ^zz++++=)
occurred ^vbd+++xvbn+=occurred
more ^rbr++++=more
