Although ^cs+con+++=Although
the ^ati++++=the
specificatory ^nn+++??+=specificatory
just ^rb+emph+++=just
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
both ^abx++++=both
temporal ^jj++++=temporal
and ^cc++++=and
locative ^nn+++??+=locative
examples ^nns++++=examples
in ^in++++=in
Lee ^np++++=Lee
s ^zz++++=s
( ^zz++++=(1987
1987 ^cd+date+++=EXTRAWORD
) ^zz++++=)
study ^nn++++=study,
, ^zz++++=EXTRAWORD
no ^at++++=no
locative ^nn+++??+=locative
example ^nn++++=example
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
specify ^vb+vsua+++=specify
a ^at++++=a
particular ^jj+atrb+++=particular
period ^nn++++=period
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
