Continuing ^vbg+++xvbg+=Continuing
with ^in++++=with
sentence ^nn++++=sentence-initial
- ^zz++++=EXTRAWORD
initial ^jj+atrb+++=EXTRAWORD
lexical ^jj+atrb+++=lexical
bundles ^nns++++=bundles,
, ^zz++++=EXTRAWORD
Li ^np+++??+=Li
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
lexical ^jj+atrb+++=lexical
bundle ^nn++++=bundle
usage ^nn++++=usage
in ^in++++=in
L2 ^np+++??+=L2
English ^jj++++=English
( ^zz++++=(L1
l1 ^nn+++??+=EXTRAWORD
Chinese ^jj++++=Chinese)
) ^zz++++=EXTRAWORD
master ^npt++++=master
s ^zz++++=s
theses ^nns++++=theses
and ^cc++++=and
published ^vbd+++xvbn+=published
research ^nn++++=research
articles ^nns++++=articles
( ^zz++++=(authored
authored ^nn+++??+=EXTRAWORD
by ^in++++=by
L1 ^np+++??+=L1
and ^cc++++=and
advanced ^jj+++xvbn+=advanced
L2 ^np+++??+=L2
speakers ^nns++++=speakers).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Published ^jj+atrb++xvbn+=Published
articles ^nns++++=articles
were ^vbd+bed+aux++=were
taken ^vpsv++agls+xvbnx+=taken
to ^to+vcmp+++=to
represent ^vbi++++=represent
expert ^nn++++=expert
writing ^vwbg+++xvbg+=writing
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
articles ^nns++++=articles
being ^xvbg+++xvbg+=being
published ^xvbn+++xvbn+=published
in ^in++++=in
peer ^nn++++=peer-reviewed
- ^zz++++=EXTRAWORD
reviewed ^xvbn+++xvbn+=EXTRAWORD
outlets ^nns++++=outlets.
. ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
Li ^np+++??+=Li
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
differences ^nns++++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
more ^rbr++++=more
versus ^in++++=versus
less ^rbr++++=less
experienced ^jj+atrb++xvbn+=experienced
writers ^nns++++=writers.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
that ^tht+vcmp+++=that
some ^dti++++=some
bundles ^nns++++=bundles
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
more ^rbr++++=more
by ^in++++=by
L2 ^np+++??+=L2
writers ^nns++++=writers
than ^in++++=than
expert ^nn++++=expert
writers ^nns++++=writers
( ^zz++++=(
vp ^nn+++??+=vp
- ^zz++++=-based
based ^xvbn+++xvbn+=EXTRAWORD
bundles ^nns++++=bundles
[ ^zz++++=[
In ^in++++=In
order ^vb++++=order
to ^to+vcmp+++=to
make ^vbi++++=make
] ^zz++++=]
and ^cc++++=and
anticipatory ^jj++++=anticipatory
it ^pp3+it+++=it
+ ^zz++++=+
verb ^nn++++=verb
bundles ^nns++++=bundles
[ ^zz++++=[
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
that ^tht+vcmp+++=that
