Continuing ^vbg+++xvbg+=Continuing
with ^in++++=with
L2 ^np+++??+=L2
learners ^nns++++=learners
of ^in++++=of
Italian ^jj++++=Italian
and ^cc+phrs+++=and
employing ^jj+++xvbg+=employing
the ^ati++++=the
same ^ap++++=same
longitudinal ^jj+atrb+++=longitudinal
corpus ^nn++++=corpus
as ^in++++=as
in ^in++++=in
Siyanova ^np+++??+=Siyanova-Chanturia
- ^zz++++=EXTRAWORD
chanturia ^nn+++??+=EXTRAWORD
and ^cc++++=and
Spina ^np+++??+=Spina
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
Omidian ^np+++??+=Omidian
et ^&fw++++=et
al ^np++++=al
. ^zz++++=.
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
sought ^vbd+++xvbn+=sought
to ^to++++=to
shed ^vbi++++=shed
further ^jjb+atrb+++=further
light ^nn++++=light
on ^in++++=on
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
L2 ^np+++??+=L2
phraseological ^nn+++??+=phraseological
knowledge ^nn++++=knowledge
by ^in++++=by
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
v+n ^nn+++??+=v+n
combinations ^nns++++=combinations.
. ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
studies ^nns++++=studies
discussed ^vwbn+++xvbn+=discussed
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
a ^at++++=a
quantitative ^jj+atrb+++=quantitative
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
adopted ^vpsv++agls+xvbnx+=adopted,
, ^zz++++=EXTRAWORD
with ^in++++=with
three ^cd++++=three
frequency ^nn++++=frequency
and ^cc++++=and
association ^nn++++=association
measures ^nns++++=measures
being ^xvbg+++xvbg+=being
considered ^vbd+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
employed ^vbd+++xvbn+=employed
linear ^jj++++=linear
mixed ^jj+++xvbn+=mixed-effects
- ^zz++++=EXTRAWORD
effects ^nns++++=EXTRAWORD
models ^nns++++=models
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
not ^xnot++not++=not
only ^rb+down+++=only
offer ^vb++++=offer
statistical ^jj+atrb+++=statistical
advantages ^nns++++=advantages
over ^in++++=over
traditional ^jj+atrb+++=traditional
regression ^nn++++=regression
models ^nns++++=models
( ^zz++++=(
anova ^nn+++??+=anova
) ^zz++++=),
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
also ^rb++++=also
allow ^vb++++=allow
the ^ati++++=the
researcher ^nn++++=researcher
to ^to++++=to
identify ^vbi++++=identify
individual ^jj+atrb+++=individual
variation ^nn++++=variation
among ^in++++=among
learners ^nns++++=learners
and ^cc++++=and
essays ^nns++++=essays.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
time ^nn++++=time
was ^vbd+bedz+vrb++=was
a ^at++++=a
significant ^jj+atrb+++=significant
predictor ^nn++++=predictor
of ^in++++=of
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
significant ^jj+atrb+++=significant
effect ^nn++++=effect
of ^in++++=of
proficiency ^nn++++=proficiency
was ^vbd+bedz+aux++=was
present ^vb++++=present
across ^in+pl+++=across
the ^ati++++=the
board ^nn++++=board.
. ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
Siyanova ^np+++??+=Siyanova-Chanturia
- ^zz++++=EXTRAWORD
chanturia ^nn+++??+=EXTRAWORD
and ^cc++++=and
Spina ^np+++??+=Spina
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
these ^dt+dem+++=these
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
L2 ^np+++??+=L2
phraseological ^nn+++??+=phraseological
development ^nn++++=development
is ^vbz+bez+vrb++=is
a ^at++++=a
highly ^rb+amp+++=highly
complex ^jj++++=complex,
, ^zz++++=EXTRAWORD
multi ^nn+++??+=multi-faceted
- ^zz++++=EXTRAWORD
faceted ^nn+++??+=EXTRAWORD
process ^nn++++=process,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
greater ^jjr+atrb+++=greater
exposure ^nn++++=exposure
to ^in++++=to
the ^ati++++=the
target ^nn++++=target
L2 ^np+++??+=L2
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
automatically ^rb++++=automatically
lead ^vb++++=lead
to ^in++++=to
more ^rbr++++=more
target ^vb++++=target-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
and ^cc++++=and
idiomatic ^nn++++=idiomatic
phraseological ^nn++++=phraseological
output ^nn++++=output.
. ^zz++++=EXTRAWORD
