However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
writers ^nns++++=writers
of ^in++++=of
New ^jj+atrb+++=New
Zealand ^np++++=Zealand
English ^nn++++=English,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Thai ^np+++??+=Thai
writers ^nns++++=writers
used ^vwbn+++xvbn+=used
more ^rbr++++=more
text ^nn++++=text-organising
- ^zz++++=EXTRAWORD
organising ^jj+atrb++xvbg+=EXTRAWORD
meta ^nn+++??+=meta-discourse,
- ^zz++++=EXTRAWORD
discourse ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
transition ^nn++++=transition
markers ^nns++++=markers
( ^zz++++=(
also ^rb++++=also
) ^zz++++=),
, ^zz++++=EXTRAWORD
sequencing ^nn+++??+=sequencing
adverbials ^nns+++??+=adverbials
( ^zz++++=(
finally ^rb++++=finally
) ^zz++++=)
and ^cc++++=and
endophoric ^nn+++??+=endophoric
markers ^nns++++=markers
( ^zz++++=(
see ^vb+vprv+++=see
fig ^nn++++=fig
. ^zz++++=.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thai ^np+++??+=Thai
writers ^nns++++=writers
also ^rb++++=also
used ^vbd+++xvbn+=used
significantly ^rb++++=significantly
more ^ql++++=more
boosters ^nns+++??+=boosters/emphatics
( ^zz++++=(
clearly ^rb++++=clearly
) ^zz++++=).
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
Prommas ^np+++??+=Prommas
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
Thai ^np+++??+=Thai
writers ^nns++++=writers
used ^vwbn+++xvbn+=used
less ^rbr++++=less
evaluation ^nn++++=evaluation
and ^cc++++=and
less ^rbr++++=less
interpersonal ^jj+atrb++??+=interpersonal
engagement ^nn++++=engagement
than ^in++++=than
writers ^nns++++=writers
of ^in++++=of
New ^jj+atrb+++=New
Zealand ^np++++=Zealand
English ^nn++++=English,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
relying ^vbg+++xvbg+=relying
more ^rbr++++=more
heavily ^rb++++=heavily
on ^in++++=on
explicit ^jj+atrb+++=explicit
text ^nn++++=text-organising
- ^zz++++=EXTRAWORD
organising ^jj+atrb+++=EXTRAWORD
features ^nns++++=features.
. ^zz++++=EXTRAWORD
