Repatriation ^np+nom++??+=Repatriation
is ^vbz+bez+vrb++=is
also ^rb++++=also
deeply ^rb++++=deeply
shaping ^jj+atrb++xvbg+=shaping
notions ^nns+nom+++=notions
of ^in++++=of
national ^jj+atrb+++=national
heritage ^nn+nom+++=heritage
and ^cc++++=and
the ^ati++++=the
attempt ^nn++++=attempt
to ^to+ncmp+++=to
confront ^vbi++++=confront
colonial ^jj+atrb+++=colonial
legacies ^nns+nom+++=legacies
far ^rb+pl+++=far
outside ^jjb++++=outside
the ^ati++++=the
United ^np++++=United
States ^nns++++=States.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
sense ^nn++++=sense
that ^tht+ncmp+++=that
Native ^jj+atrb+++=Native
Americans ^nns+nom+++=Americans
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
are ^vb+ber+aux++=are
increasingly ^rb++splt++=increasingly
looking ^vbg+++xvbgx+=looking
to ^to+vcmp+++=to
reclaim ^vb+++??+=reclaim
their ^pp$+pp3+++=their
heritage ^nn+nom+++=heritage
outside ^jjb++++=outside
the ^ati++++=the
country ^nn++++=country
( ^zz++++=(since
since ^cs+sub+++=EXTRAWORD
Nagpra ^np+++??+=NAGPRA
applies ^vbz++++=applies
only ^rb+down+++=only
to ^in++++=to
Us ^pp1o+pp1+++=US
museums ^nns++++=museums
and ^cc++++=and
agencies ^nns++++=agencies),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
when ^wrb+who+++=when
the ^ati++++=the
Hopi ^np+++??+=Hopi
attempt ^nn++++=attempt
to ^to+ncmp+++=to
stop ^vbi++++=stop
the ^ati++++=the
auction ^nn+nom+++=auction
of ^in++++=of
katsinam ^nn+++??+=katsinam
in ^in++++=in
French ^jj+atrb+++=French
auction ^nn+nom+++=auction
houses ^nns++++=houses
( ^zz++++=(
Liljeblad ^np++++=Liljeblad
2017 ^cd++++=2017
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^cs+sub+++=in
that ^cs"++++=that
Nagpra ^np+++??+=NAGPRA-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
conversations ^nns+nom+++=conversations
and ^cc++++=and
claims ^nns++++=claims
are ^vb+ber+aux++=are
engulfing ^vbg+++xvbgx+=engulfing
many ^ap++++=many
countries ^nns++++=countries
beyond ^in++++=beyond
the ^ati++++=the
United ^np++++=United
States ^nns++++=States.
. ^zz++++=EXTRAWORD
England ^np++++=England,
, ^zz++++=EXTRAWORD
France ^np++++=France,
, ^zz++++=EXTRAWORD
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
Belgium ^np++++=Belgium
not ^xnot++not++=not
to ^to++++=to
mention ^nn+nom+++=mention
colonial ^jj+atrb+++=colonial
settler ^nn++++=settler
nations ^nns+nom+++=nations
such ^abl++++=such
as ^ql++++=as
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
New ^jj+atrb+++=New
Zealand ^np++++=Zealand
and ^cc++++=and
many ^ap++++=many
others ^aps++++=others
are ^vb+ber+aux++=are
actively ^rb++splt++=actively
debating ^vbg+++xvbgx+=debating
the ^ati++++=the
control ^nn++++=control
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
material ^nn++++=material
heritages ^nns+nom+++=heritages
and ^cc++++=and
ancestral ^jj+atrb+++=ancestral
remains ^nns++++=remains
( ^zz++++=(
Aranui ^np++++=Aranui
2018 ^cd++++=2018
, ^zz++++=,
Hanna ^np+++??+=Hanna
2005 ^cd++++=2005
, ^zz++++=,
Hole ^nn++++=Hole
2007 ^cd++++=2007
, ^zz++++=,
Krmpotich ^np+++??+=Krmpotich
2014 ^cd++++=2014
, ^zz++++=,
