Consistent ^jj++++=Consistent
with ^in++++=with
inferences ^nns+nom+++=inferences
based ^vwbn+++xvbn+=based
on ^in++++=on
partial ^jj+atrb+++=partial
mitochondrial ^jj+atrb+++=mitochondrial
sequences ^nns+nom+++=sequences
( ^zz++++=(
Evans ^np++++=Evans
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003a ^cd++++=2003a
) ^zz++++=),
, ^zz++++=EXTRAWORD
substantial ^jj+atrb+++=substantial
intraspecific ^nn++++=intraspecific
divergence ^nn+nom+++=divergence
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
within ^in++++=within
M ^zz++++=M.
. ^zz++++=EXTRAWORD
hecki ^nn+++??+=hecki
between ^in++++=between
the ^ati++++=the
population ^nn+nom+++=population
in ^in++++=in
the ^ati++++=the
southern ^jj+atrb+++=southern
portion ^nn+nom+++=portion
of ^in++++=of
its ^pp$+it+++=its
distribution ^nn+nom+++=distribution
and ^cc++++=and
that ^cs+sub+++=that
in ^in++++=in
the ^ati++++=the
northeastern ^jj+atrb++xvbn+=northeastern
region ^nn++++=region.
. ^zz++++=EXTRAWORD
By ^in++++=By
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
little ^ap++++=little
intraspecific ^jj+atrb+++=intraspecific
variation ^nn+nom+++=variation
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbn+=observed
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
m ^zz++++=M.
. ^zz++++=EXTRAWORD
nigrescens ^nns++++=nigrescens
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
