The ^ati++++=The
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
prefix ^nn++++=prefix
archaeo ^nn+++??+=archaeo
, ^zz++++=,
as ^in++++=as
in ^in"++++=in
other ^ap++++=other
biological ^jj+atrb+++=biological
fields ^nns++++=fields
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
archaeoichthyology ^nn+++??+=archaeoichthyology
or ^cc++++=or
archaeomalacology ^nn+++??+=archaeomalacology),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
serves ^vbz++++=serves
to ^to++++=to
examine ^vbi++++=examine
past ^jjb+atrb+++=past
interactions ^nns+nom+++=interactions
of ^in++++=of
humans ^nns++++=humans
and ^cc++++=and
other ^ap++++=other
living ^jj+atrb++xvbg+=living
organisms ^nns+nom+++=organisms
and ^cc++++=and
also ^rb++++=also
to ^to++++=to
explore ^vbi++++=explore
their ^pp$+pp3+++=their
disciplinary ^nn+nom+++=disciplinary
foundational ^jj+atrb+++=foundational
bases ^nns++++=bases
( ^zz++++=(
Urbani ^np++++=Urbani
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
Archaeoprimatology ^np+++??+=Archaeoprimatology
not ^xnot++not++=not
only ^rb+down+++=only
examines ^vbz++++=examines
the ^ati++++=the
past ^jjb+atrb+++=past
interface ^nn+++??+=interface
of ^in++++=of
human ^jj++++=human
and ^cc++++=and
primates ^nns+nom+++=primates
but ^cc++++=but
also ^rb++++=also
explores ^vbz+++??+=explores
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
primatological ^jj+atrb+++=primatological
history ^nn++++=history.
. ^zz++++=EXTRAWORD
Urbani ^np+++??+=Urbani
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
pursue ^vb++++=pursue
this ^dt+dem+++=this
goal ^nn++++=goal,
, ^zz++++=EXTRAWORD
archaeoprimatological ^jj+atrb+++=archaeoprimatological
research ^nn++++=research
must ^md+nec+++=must
integrate ^nn+nom+++=integrate
material ^nn++++=material
culture ^nn++++=culture
with ^in++++=with
primatomorphic ^jj+atrb+++=primatomorphic
depictions ^nns+nom+++=depictions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
2d ^cd++++=2D
pictorial ^jj+atrb+++=pictorial
surfaces ^nns++++=surfaces
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rock ^nn++++=rock
art ^nn++++=art
panels ^nns++++=panels,
, ^zz++++=EXTRAWORD
mosaics ^nns++++=mosaics,
, ^zz++++=EXTRAWORD
textiles ^nns++++=textiles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frescoes ^nns++++=frescoes)
) ^zz++++=EXTRAWORD
or ^cc++++=or
portable ^jj+atrb+++=portable
objects ^nns++++=objects
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
figurines ^nns+++??+=figurines
and ^cc++++=and
glyptic ^jj+atrb+++=glyptic
representations ^nns+nom+++=representations),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
primate ^nn+nom+++=primate
biological ^jj++++=biological
remains ^vbz++++=remains
recovered ^vbd+++xvbn+=recovered
at ^rb++++=at
archaeological ^jj+atrb+++=archaeological
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
Biological ^jj+atrb+++=Biological
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+vrb++=have
multiple ^jj+atrb+++=multiple
meanings ^nns++++=meanings
and ^cc++++=and
uses ^nns++++=uses,
, ^zz++++=EXTRAWORD
including ^in++++=including
food ^nn++++=food
sources ^nns++++=sources
and ^cc++++=and
skeletal ^jj+atrb+++=skeletal
elements ^nns+nom+++=elements
with ^in++++=with
symbolic ^jj+atrb+++=symbolic
values ^nns++++=values
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ingicco ^np+++??+=Ingicco
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
, ^zz++++=,
Urbani ^np+++??+=Urbani
& ^zz++++=&
Rodr ^np+++??+=Rodr
guez ^nn+++??+=guez
2021 ^cd++++=2021
, ^zz++++=,
urbani ^np++++=Urbani
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2022c ^cd++++=2022c
and ^cc++++=and
chapters ^nns+nom+++=chapters
therein ^rb++++=therein).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
