Repatriation ^np+nom++??+=Repatriation
ceremonies ^nns++++=ceremonies
have ^vb+hv+vrb++=have
very ^ql+amp+++=very
little ^ap++++=little
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
they ^pp3a+pp3+++=they
may ^md+pos+++=may
create ^vb++++=create
moments ^nns+nom+++=moments
of ^in++++=of
communitas ^nns+++??+=communitas
when ^wrb+who+++=when
museum ^nn++++=museum
staff ^nn++++=staff
weep ^nn++++=weep
or ^cc++++=or
pray ^vb+vsua+++=pray
with ^in++++=with
delegates ^nns+nom+++=delegates,
, ^zz++++=EXTRAWORD
museums ^nns++++=museums
continue ^vb++++=continue
to ^to++++=to
own ^vbi++++=own
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
the ^ati++++=the
rules ^nns++++=rules
by ^in++++=by
which ^whp+rel+pied++=which
repatriation ^nn+nom+++=repatriation
claims ^nns++++=claims
are ^vb+ber+aux++=are
accepted ^vpsv++agls+xvbnx+=accepted
or ^cc++++=or
rejected ^jj+++xvbn+=rejected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
determine ^vb++++=determine
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
entire ^nn++++=entire
set ^vbd+++xvbn+=set
of ^in++++=of
ceremonies ^nns++++=ceremonies.
. ^zz++++=EXTRAWORD
Colonial ^jj+atrb+++=Colonial
structures ^nns++++=structures
of ^in++++=of
power ^nn++++=power
as ^in++++=as
embodied ^nn++++=embodied
in ^in++++=in
museums ^nns++++=museums
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
untouched ^jj+pred+++=untouched
by ^in++++=by
repatriation ^nn+nom+++=repatriation
ceremonies ^nns++++=ceremonies.
. ^zz++++=EXTRAWORD
( ^zz++++=(
peers ^nns++++=Peers
2017 ^cd++++=2017
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
18 ^cd++++=18)
) ^zz++++=EXTRAWORD
