Going ^vbg+++xvbg+=Going
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
biolegality ^nn+++??+=biolegality
would ^md+prd+++=would
benefit ^vb++++=benefit
greatly ^rb+amp+++=greatly
from ^in++++=from
a ^at++++=a
more ^ap++++=more
sustained ^jj+atrb++xvbn+=sustained
focus ^nn++++=focus
on ^in++++=on
how ^wrb+who+++=how
understandings ^nns++++=understandings
of ^in++++=of
biology ^nn++++=biology
and ^cc++++=and
law ^nn++++=law
resonate ^nn+++??+=resonate
in ^in++++=in
non ^&fw++++=non-Western
- ^zz++++=EXTRAWORD
western ^jj+atrb+++=EXTRAWORD
societies ^nns++++=societies
or ^cc++++=or
on ^in++++=on
legal ^jj+atrb+++=legal
institutions ^nns++++=institutions
marked ^vwbn+++xvbn+=marked
by ^in++++=by
non ^&fw++++=non-Western
- ^zz++++=EXTRAWORD
western ^jj+atrb+++=EXTRAWORD
law ^nn++++=law,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
customary ^jj+atrb+++=customary
or ^cc+phrs+++=or
Islamic ^jj+atrb+++=Islamic
law ^nn++++=law.
. ^zz++++=EXTRAWORD
The ^ati++++=The
few ^ap++++=few
studies ^nns++++=studies
that ^tht+rel+subj++=that
have ^vb+hv+vrb++=have
theorized ^nn+++??+=theorized
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
studied ^vbd+++xvbn+=studied
the ^ati++++=the
effects ^nns++++=effects
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
biotechnology ^nn+++??+=biotechnology
and ^cc++++=and
law ^nn++++=law
in ^in++++=in
non ^&fw++++=non-Western
- ^zz++++=EXTRAWORD
western ^jj+atrb+++=EXTRAWORD
contexts ^nns++++=contexts
( ^zz++++=(for
for ^in++++=EXTRAWORD
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
Foster ^jjb++++=Foster
2016 ^cd++++=2016
, ^zz++++=,
Jasanoff ^np+++??+=Jasanoff
2006 ^cd++++=2006
, ^zz++++=,
Nwabueze ^np+++??+=Nwabueze
2016 ^cd++++=2016
, ^zz++++=,
Strathern ^np+++??+=Strathern
2005 ^cd++++=2005
) ^zz++++=)
have ^vb+hv+aux++=have
emphasized ^vprf+++xvbnx+=emphasized
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
Western ^jj+atrb+++=Western
modern ^jj+atrb+++=modern
laws ^nns++++=laws
still ^rb++++=still
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
imprints ^nns+++??+=imprints
in ^in++++=in
these ^dt+dem+++=these
contexts ^nns++++=contexts
( ^zz++++=(as
as ^ql++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
also ^rb++splt++=also
implicated ^vpsv++agls+xvbnx+=implicated
in ^in++++=in
global ^jj+atrb+++=global
governance ^nn+++??+=governance
systems ^nns++++=systems)
) ^zz++++=EXTRAWORD
but ^cc++++=but
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
often ^rb++++=often
feed ^vb++++=feed
different ^jj+atrb+++=different
concerns ^nns++++=concerns
than ^in++++=than
the ^ati++++=the
ones ^cd1s++++=ones
intended ^jj+++xvbn+=intended
in ^in++++=in
their ^pp$+pp3+++=their
original ^jj++++=original
( ^zz++++=(modern)
modern ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
constitution ^nn++++=constitution.
. ^zz++++=EXTRAWORD
Anthropological ^np+++??+=Anthropological
analysis ^nn++++=analysis
fulfills ^nns+++??+=fulfills
an ^at++++=an
important ^jj+atrb+++=important
role ^nn++++=role
in ^in++++=in
gauging ^nn++++=gauging
how ^wrb+who+++=how
such ^abl++++=such
translations ^nns++++=translations
prompt ^jj+atrb+++=prompt
new ^jj+atrb+++=new
understanding ^nn++++=understanding
of ^in++++=of
social ^jj+atrb+++=social
life ^nn++++=life.
. ^zz++++=EXTRAWORD
