Subvertical ^np+++??+=Subvertical
grooves ^nns++++=grooves
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
primarily ^rb+down+++=primarily
in ^in++++=in
Neanderthals ^nns+nom++??+=Neanderthals
( ^zz++++=(
Giacobini ^np++++=Giacobini
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1984 ^cd+date+++=1984
; ^zz++++=;
Antunes ^np+++??+=Antunes
and ^cc++++=and
Santinho ^np+++??+=Santinho
Cunha ^np+++??+=Cunha,
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992
; ^zz++++=;
Villa ^np++++=Villa
and ^cc++++=and
Giacobini ^np+++??+=Giacobini,
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995
; ^zz++++=;
Poisson ^np+++??+=Poisson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
; ^zz++++=;
Egocheaga ^np+++??+=Egocheaga
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Rosas ^np+++??+=Rosas
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Estalrrich ^np+++??+=Estalrrich
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trait ^nn++++=trait
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
described ^vpsv++agls+xvbnx+=described
in ^in++++=in
other ^ap++++=other
fossil ^nn++++=fossil
and ^cc++++=and
extant ^jj+atrb+++=extant
hominins ^nns+++??+=hominins,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Homo ^np+++??+=Homo
habilis ^nns+++??+=habilis
( ^zz++++=(
Puech ^np++++=Puech
and ^cc++++=and
Cianfarani ^np+++??+=Cianfarani,
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988
) ^zz++++=),
, ^zz++++=EXTRAWORD
early ^jj+atrb+++=early
Homo ^np+++??+=Homo
( ^zz++++=(
Brink ^np++++=Brink
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=),
, ^zz++++=EXTRAWORD
Middle ^jjb++++=Middle
Pleistocene ^np+++??+=Pleistocene
hominins ^nns+++??+=hominins
( ^zz++++=(
P ^zz++++=P
rez ^nn+++??+=rez-P
- ^zz++++=EXTRAWORD
p ^zz++++=EXTRAWORD
rez ^nn+++??+=rez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=),
, ^zz++++=EXTRAWORD
early ^jj+atrb+++=early
modern ^jj+atrb+++=modern
humans ^nns++++=humans
( ^zz++++=(
Vandermeersch ^np++++=Vandermeersch,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981
; ^zz++++=;
Sarig ^np+++??+=Sarig
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Amh ^np+++??+=AMH
( ^zz++++=(
Kaidonis ^np++++=Kaidonis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
etiology ^nn+++??+=etiology
of ^in++++=of
this ^dt+dem+++=this
modification ^nn+nom+++=modification
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
well ^jj+pred+++=well
known ^vbd+vprv++xvbn+=known,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
multifactor ^nn++++=multifactor
combination ^nn+nom+++=combination
of ^in++++=of
biomechanical ^jj++++=biomechanical,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-masticatory
- ^zz++++=EXTRAWORD
masticatory ^nn++++=EXTRAWORD
and ^cc++++=and
dietary ^jj+atrb+++=dietary
preferences ^nns+nom+++=preferences
( ^zz++++=(
Poisson ^np++++=Poisson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
; ^zz++++=;
Egocheaga ^np+++??+=Egocheaga
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
estalrrich ^np++++=Estalrrich
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
