Sedimentary ^np+nom++??+=Sedimentary
facies ^nn++++=facies
through ^in++++=through
thin ^jj+atrb+++=thin
sections ^nns+nom+++=sections:
: ^zz++++=EXTRAWORD
The ^ati++++=The
micromorphological ^nn++++=micromorphological
study ^vb++++=study
allowed ^vbd+++xvbn+=allowed
for ^in+ppvb+++=for
specifying ^xvbg+++xvbg+=specifying
the ^ati++++=the
sedimentary ^nn+nom+++=sedimentary
and ^cc++++=and
pedological ^jj+atrb+++=pedological
features ^nns++++=features
of ^in++++=of
the ^ati++++=the
stratigraphic ^jj+atrb+++=stratigraphic
units ^nns++++=units
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
high ^jj++++=high-res
- ^zz++++=EXTRAWORD
res ^nns+++??+=EXTRAWORD
image ^nn++++=image
( ^zz++++=(5MB)
5mb ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
full ^jj++++=full-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
image ^nn++++=image
Figure ^nn++++=Figure
4 ^zz++++=4
. ^zz++++=.
Microphotographs ^np+++??+=Microphotographs
of ^in++++=of
thin ^jj+atrb+++=thin
sections ^nns+nom+++=sections
from ^in++++=from
the ^ati++++=the
Ravin ^np+++??+=Ravin
Blanc ^np++++=Blanc
I ^pp1a+pp1+++=I
site ^nn++++=site.
. ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Rb1 ^np+++??+=RB1,
, ^zz++++=EXTRAWORD
Xpl ^np+++??+=XPL,
, ^zz++++=EXTRAWORD
micritic ^jj+atrb+++=micritic
groundmass ^nns+++??+=groundmass
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
late ^jj++++=late
micritic ^jj++++=micritic
secondary ^jj++++=secondary
filling ^jj+++xvbg+=filling
of ^in++++=of
large ^jj++++=large
void ^jj++++=void
( ^zz++++=(b);
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Rb1 ^np+++??+=RB1,
, ^zz++++=EXTRAWORD
Xpl ^np+++??+=XPL,
, ^zz++++=EXTRAWORD
pocket ^nn++++=pocket
of ^in++++=of
coarse ^jj+atrb+++=coarse
alluvial ^jj+atrb+++=alluvial
sand ^nn++++=sand
( ^zz++++=(a,
a ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
b ^zz++++=b);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Rb2 ^np+++??+=RB2,
, ^zz++++=EXTRAWORD
Xpl ^np+++??+=XPL,
, ^zz++++=EXTRAWORD
polycrystalline ^jj+atrb+++=polycrystalline
quarzitic ^nn++++=quarzitic
sand ^nn++++=sand
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
micritic ^jj++++=micritic
( ^zz++++=(b),
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
microsparitic ^jj+atrb+++=microsparitic
groundmass ^nns+++??+=groundmass
( ^zz++++=(c);
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Rb2 ^np+++??+=RB2,
, ^zz++++=EXTRAWORD
Xpl ^np+++??+=XPL,
, ^zz++++=EXTRAWORD
