Although ^cs+con+++=Although
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
questions ^nns++++=questions
about ^in++++=about
Nagpra ^np++++=NAGPRA's
's ^$++++=EXTRAWORD
fundamental ^jj+atrb+++=fundamental
purpose ^nn++++=purpose
and ^cc++++=and
constitutionality ^nn+++??+=constitutionality,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
scholars ^nns++++=scholars
have ^vb+hv+aux++=have
moved ^vprf+++xvbnx+=moved
on ^in++++=on
from ^in++++=from
these ^dt+dem+++=these
debates ^nns++++=debates,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
because ^cs+cos+++=because
of ^in++++=of
Nagpra ^np++++=NAGPRA's
's ^$++++=EXTRAWORD
long ^rb++++=long
period ^nn++++=period
of ^in++++=of
implementation ^nn++++=implementation
and ^cc++++=and
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
survived ^vprf+++xvbnx+=survived
numerous ^jj+atrb+++=numerous
tests ^nns++++=tests
in ^in++++=in
the ^ati++++=the
courts ^nns++++=courts
( ^zz++++=(
Echo ^np++++=Echo-Hawk
- ^zz++++=EXTRAWORD
hawk ^nn+++??+=EXTRAWORD
1986 ^cd+date+++=1986
, ^zz++++=,
Harding ^np++++=Harding
1997 ^cd+date+++=1997
, ^zz++++=,
Hurtado ^np+++??+=Hurtado
993 ^cd+date+++=1993
 ^zz++++=,
Platzman ^np++++=Platzman
992 ^cd+date+++=1992
 ^zz++++=,
Riley ^np++++=Riley
002 ^cd++++=2002
	 ^zz++++=).
 ^zz++++=EXTRAWORD
