Experiments ^nns++++=Experiments
with ^in++++=with
new ^jj+atrb+++=new
kinds ^nns++++=kinds
of ^in++++=of
research ^nn++++=research
methods ^nns++++=methods
and ^cc++++=and
collaborations ^nns+++??+=collaborations
are ^vb+ber+vrb++=are
a ^at++++=a
feature ^nn++++=feature
of ^in++++=of
recent ^jj+atrb+++=recent
work ^nn++++=work
on ^in++++=on
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene.
. ^zz++++=EXTRAWORD
Tsing ^np++++=Tsing's
's ^$++++=EXTRAWORD
Feral ^np+++??+=Feral
Atlas ^nn++++=Atlas
project ^nn++++=project
( ^zz++++=(
Tsing ^np++++=Tsing
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=)
brings ^vbz++++=brings
together ^rb++++=together
anthropologists ^nns++++=anthropologists,
, ^zz++++=EXTRAWORD
scientists ^nns++++=scientists,
, ^zz++++=EXTRAWORD
artists ^nns++++=artists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
humanists ^nns++++=humanists
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
feral ^nn+++??+=feral
effects ^nns++++=effects
of ^in++++=of
infrastructures ^nns+++??+=infrastructures
such ^abl++++=such
as ^ql++++=as
dams ^nns++++=dams
or ^cc++++=or
oil ^nn++++=oil
rigs ^nns+++??+=rigs
that ^tht+rel+subj++=that
stimulate ^vb++++=stimulate
invasive ^nn+++??+=invasive
species ^nns++++=species,
, ^zz++++=EXTRAWORD
pathogens ^nns++++=pathogens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
toxicities ^nns+++??+=toxicities.
. ^zz++++=EXTRAWORD
Feral ^np+++??+=Feral
effects ^nns++++=effects
emerge ^vb++++=emerge
through ^in++++=through
relations ^nns++++=relations
among ^in++++=among
people ^nns++++=people,
, ^zz++++=EXTRAWORD
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
soils ^nns++++=soils,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
microbes ^nns+++??+=microbes
in ^in++++=in
particular ^jj+atrb+++=particular
landscape ^nn++++=landscape
