Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
offer ^vb++++=offer
the ^ati++++=the
term ^nn++++=term
religious ^jj+atrb+++=religious
orthodoxies ^nns+++??+=orthodoxies,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
small ^jj+atrb+++=small
o ^zz++++=o
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
plural ^nn++++=plural,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
experimental ^jj+atrb+++=experimental,
, ^zz++++=EXTRAWORD
analytical ^jj+atrb+++=analytical
category ^nn++++=category
for ^in++++=for
communities ^nns++++=communities
that ^tht+rel+subj++=that
share ^vb++++=share
a ^at++++=a
commitment ^nn++++=commitment
to ^in+ncmp+++=to
correct ^jj+atrb+++=correct
action ^nn++++=action
and ^cc++++=and
correct ^jj+atrb+++=correct
belief ^nn++++=belief
rooted ^vbd+++xvbn+=rooted
in ^in++++=in
an ^at++++=an
authoritative ^jj+atrb+++=authoritative
tradition ^nn++++=tradition
that ^tht+rel+subj++=that
directs ^vbz+vpub+++=directs
practice ^nn++++=practice
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
future ^jjb++++=future
( ^zz++++=(
Asad ^np++++=Asad
1993 ^cd+date+++=1993
, ^zz++++=,
Mahmood ^np+++??+=Mahmood
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Claims ^vb++++=Claims
to ^to+vcmp+++=to
correctness ^vb++++=correctness
or ^cc++++=or
incorrectness ^nns+++??+=incorrectness
should ^md+nec+++=should
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
what ^wdt+who+++=what
ethnomethodologists ^nns+++??+=ethnomethodologists
have ^vb+hv+aux++=have
designated ^vprf+++xvbnx+=designated
a ^at++++=a
social ^jj+atrb+++=social
achievement ^nn++++=achievement
( ^zz++++=(
Schegloff ^np++++=Schegloff
1986 ^cd+date+++=1986
) ^zz++++=).
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
gets ^vbz++++=gets
interpreted ^vbd+++xvbn+=interpreted
as ^ql++++=as
correct ^vb++++=correct
or ^cc++++=or
incorrect ^jj++++=incorrect,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
traditions ^nns++++=traditions
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
hierarchically ^rb++++=hierarchically
structured ^nn+++??+=structured
as ^ql++++=as
orthodoxies ^nns++++=orthodoxies
are ^vb+ber+aux++=are,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
always ^rb++splt++=always
negotiated ^vpsv++agls+xvbnx+=negotiated,
, ^zz++++=EXTRAWORD
contested ^j+++xvbn+=contested,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
contingent ^nn++++=contingent
in ^in++++=in
short ^jj++++=short,
, ^zz++++=EXTRAWORD
ethical ^jj++++=ethical
and ^cc+phrs+++=and
political ^jj++++=political.
. ^zz++++=EXTRAWORD
The ^ati++++=The
category ^nn++++=category
of ^in++++=of
Orthodoxy ^nn++++=Orthodoxy
as ^ql++++=as
both ^abx++++=both
( ^zz++++=(normatively)
normatively ^rb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
emic ^nn+++??+=emic
and ^cc++++=and
analytic ^nn+++??+=analytic
( ^zz++++=(
Boustan ^np++++=Boustan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011
, ^zz++++=,
Wilson ^np++++=Wilson
2007 ^cd++++=2007
) ^zz++++=)
simultaneously ^rb+tm+++=simultaneously
foregrounds ^nns+++??+=foregrounds
competing ^vwbg+++xvbg+=competing
ethnographic ^nn+++??+=ethnographic
and ^cc++++=and
epistemological ^nn+++??+=epistemological
histories ^nns++++=histories.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
conceptualizing ^nn+++??+=conceptualizing
acknowledges ^vbz++++=acknowledges
the ^ati++++=the
Jewish ^jj+atrb+++=Jewish
Christian ^jj+atrb+++=Christian
genealogies ^nns++++=genealogies
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
and ^cc++++=and
the ^ati++++=the
influence ^nn++++=influence
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
on ^in++++=on
the ^ati++++=the
modern ^jj+atrb+++=modern
conception ^nn++++=conception
of ^in++++=of
religion ^nn++++=religion.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
