Helplessness ^np+++??+=Helplessness
at ^in++++=at
birth ^nn++++=birth
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unique ^jj++++=unique
to ^in++++=to
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
other ^ap++++=other
animals ^nns++++=animals
across ^in+pl+++=across
numerous ^jj+atrb+++=numerous
taxa ^nn+++??+=taxa
have ^vb+hv+vrb++=have
newborns ^nns+++??+=newborns
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
similarly ^rb+cnj+++=similarly
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
locomote ^vb+++??+=locomote,
, ^zz++++=EXTRAWORD
obtain ^vb++++=obtain
food ^nn++++=food
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
otherwise ^rb+cnj+++=otherwise
care ^nn++++=care
for ^in++++=for
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Portmann ^np+++??+=Portmann
used ^vwbn+++xvbn+=used
the ^ati++++=the
German ^jj+atrb+++=German
terms ^nns++++=terms
Nesthocker ^np+++??+=Nesthocker
and ^cc++++=and
Nestfl ^np+++??+=Nestfl
chter ^nn+++??+=chter
, ^zz++++=,
meaning ^nvbg+++xvbg+=meaning
nest ^nn++++=nest-sitter
- ^zz++++=EXTRAWORD
sitter ^nn++++=EXTRAWORD
( ^zz++++=(nidicolous)
nidicolous ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
nest ^nn++++=nest-fleer
- ^zz++++=EXTRAWORD
fleer ^nn+++??+=EXTRAWORD
( ^zz++++=(nidifugous),
nidifugous ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
referring ^vbg+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
extremes ^nns++++=extremes
of ^in++++=of
life ^nn++++=life
history ^nn++++=history
strategy ^nn++++=strategy
in ^in++++=in
birds ^nns++++=birds;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
concepts ^nns++++=concepts
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
in ^in++++=in
English ^jj++++=English
as ^ql++++=as
altricial ^vb+++??+=altricial
and ^cc++++=and
precocial ^nn+++??+=precocial
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
extended ^vpsv++agls+xvbnx+=extended
to ^in++++=to
mammals ^nns++++=mammals
as ^in++++=as
exemplified ^nn++++=exemplified
through ^in++++=through
blind ^jj+atrb+++=blind
kittens ^nns+++??+=kittens
and ^cc++++=and
frisky ^jj+atrb+++=frisky
colts ^nns++++=colts
( ^zz++++=(
Portmann ^np++++=Portmann
1990 ^cd+date+++=1990
, ^zz++++=,
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
19 ^cd++++=19
20 ^cd++++=20)
) ^zz++++=EXTRAWORD
( ^zz++++=(
