Other ^ap++++=Other
scholars ^nns++++=scholars
emphasize ^vb++++=emphasize
epistemological ^jj+atrb+++=epistemological
dissonance ^nn+nom+++=dissonance
and ^cc++++=and
critique ^nn++++=critique
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
cultural ^jj+atrb+++=cultural
affiliation ^nn+nom+++=affiliation
determinations ^nns+nom+++=determinations
( ^zz++++=(
Colwell ^np++++=Colwell-Chanthaphonh
- ^zz++++=EXTRAWORD
chanthaphonh ^nn+++??+=EXTRAWORD
& ^zz++++=&
Powell ^np++++=Powell
2012 ^cd++++=2012
, ^zz++++=,
Cordell ^np+++??+=Cordell
& ^zz++++=&
Kintigh ^np+++??+=Kintigh
2010 ^cd++++=2010
, ^zz++++=,
ousley ^np++++=Ousley
2010 ^cd++++=2010
, ^zz++++=,
schillaci ^np++++=Schillaci
& ^zz++++=&
bustard ^np++++=Bustard
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
