Feeding ^vbg+++xvbg+=Feeding
competition ^nn+nom+++=competition
and ^cc++++=and
resource ^nn++++=resource
availability ^nn+nom+++=availability
affect ^vb++++=affect
association ^nn+nom+++=association
patterns ^nns++++=patterns
in ^in++++=in
both ^abx++++=both
Budongo ^np+++??+=Budongo
and ^cc++++=and
Ta ^np+++??+=Ta
chimpanzees ^nns+nom+++=chimpanzees
( ^zz++++=(
Newton ^np++++=Newton-Fisher
- ^zz++++=EXTRAWORD
fisher ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
; ^zz++++=;
Wittiger ^np+nom++??+=Wittiger
and ^cc++++=and
Boesch ^np+++??+=Boesch,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
Ta ^np+++??+=Ta
chimpanzees ^nns+nom+++=chimpanzees
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
characterized ^vpsv++agls+xvbnx+=characterized
as ^ql++++=as
more ^rbr++++=more
consistently ^rb++++=consistently
gregarious ^jj++++=gregarious
than ^in++++=than
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
chimpanzee ^nn+nom+++=chimpanzee
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
result ^nn++++=result
of ^in++++=of
greater ^jjr+atrb+++=greater
resource ^nn++++=resource
abundance ^nn+nom+++=abundance
and ^cc++++=and/or
greater ^jjr+atrb+++=greater
predation ^nn+nom+++=predation
risk ^vb++++=risk
( ^zz++++=(
Boesch ^np++++=Boesch,
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991
; ^zz++++=;
Riedel ^np+++??+=Riedel
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Wittiger ^np+nom++??+=Wittiger
and ^cc++++=and
Boesch ^np+++??+=Boesch,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
group ^nn++++=group
sizes ^nns++++=sizes
in ^in++++=in
Ta ^np+++??+=Ta
are ^vb+ber+vrb++=are
also ^rb++++=also
comparatively ^rb++++=comparatively
small ^jj++++=small
compared ^jj+++xvbn+=compared
with ^in++++=with
many ^ap++++=many
other ^ap++++=other
chimpanzee ^nn+nom+++=chimpanzee
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
including ^in++++=including
Budongo ^np+++??+=Budongo,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
limiting ^vbg+++xvbg+=limiting
intragroup ^nn+++??+=intragroup
feeding ^vwbg+++xvbg+=feeding
competition ^nn+nom+++=competition
( ^zz++++=(
Wittig ^np++++=Wittig
and ^cc++++=and
Boesch ^np+++??+=Boesch,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
as ^in++++=as
with ^in"++++=with
Luikotale ^np+++??+=LuiKotale
bonobos ^nns+++??+=bonobos,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
does ^vbz+doz+aux++=does
not ^xnot++not++=not
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
feeding ^vbg+++xvbg+=feeding
competition ^nn+nom+++=competition
or ^cc++++=or
seasonal ^jj+atrb+++=seasonal
effects ^nns++++=effects
are ^vb+ber+vrb++=are
absent ^jj+pred+++=absent
in ^in++++=in
Ta ^np+++??+=Ta
. ^zz++++=.
Indeed ^qlp++++=Indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
adult ^jj+atrb+++=adult
Ta ^np+++??+=Ta
chimpanzees ^nns+nom+++=chimpanzees,
, ^zz++++=EXTRAWORD
cortisol ^nn+++??+=cortisol
levels ^nns++++=levels
vary ^vb++++=vary
seasonally ^rb++++=seasonally
( ^zz++++=(
Wessling ^np+nom+++=Wessling
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
females ^nns++++=females
directly ^rb++++=directly
compete ^vb++++=compete
for ^in++++=for
food ^nn++++=food
resources ^nns++++=resources
in ^in++++=in
food ^nn++++=food
patches ^nns++++=patches,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
other ^ap++++=other
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
females ^nns++++=females
may ^md+pos+++=may
be ^vb+be+vrb++=be
less ^rbr++++=less
gregarious ^jj+pred+++=gregarious
and ^cc++++=and
occupy ^vb++++=occupy
different ^jj+atrb+++=different
areas ^nns++++=areas
within ^in++++=within
a ^at++++=a
territory ^nn++++=territory
to ^to++++=to
avoid ^vbi++++=avoid
direct ^jj+atrb+++=direct
competition ^nn+nom+++=competition
for ^in++++=for
resources ^nns++++=resources
( ^zz++++=(
Wittig ^np++++=Wittig
and ^cc++++=and
Boesch ^np+++??+=Boesch,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Ta ^np+++??+=Ta
chimpanzees ^nns+nom+++=chimpanzees,
, ^zz++++=EXTRAWORD
like ^in++++=like
young ^jj+atrb+++=young
Luikotale ^np+++??+=LuiKotale
bonobos ^nns+++??+=bonobos,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
undergo ^vb++++=undergo
a ^at++++=a
more ^rbr++++=more
