Viewed ^vbd+++xvbn+=Viewed
from ^in++++=from
an ^at++++=an
ecomorphological ^nn+++??+=ecomorphological
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
Mesopithecus ^np+++??+=Mesopithecus
was ^vbd+bedz+vrb++=was
a ^at++++=a
jack ^np++++=jack-of-all-trades
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
trades ^nns++++=EXTRAWORD
monkey ^nn++++=monkey,
, ^zz++++=EXTRAWORD
able ^jj++++=able
to ^to+jcmp+++=to
navigate ^vb+++??+=navigate
a ^at++++=a
wide ^jj+atrb+++=wide
variety ^nn++++=variety
of ^in++++=of
substrates ^nns++++=substrates
and ^cc++++=and
terrains ^nns+++??+=terrains,
, ^zz++++=EXTRAWORD
eat ^vb++++=eat
a ^at++++=a
wide ^jj+atrb+++=wide
variety ^nn++++=variety
of ^in++++=of
foods ^nns++++=foods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tolerate ^vb++++=tolerate
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
altitudes ^nns++++=altitudes,
, ^zz++++=EXTRAWORD
temperatures ^nns++++=temperatures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rainfall ^nn++++=rainfall
regimes ^nns++++=regimes
( ^zz++++=(
Pradella ^np++++=Pradella
and ^cc++++=and
Rook ^np+++??+=Rook,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Merceron ^np+++??+=Merceron
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
; ^zz++++=;
Koufos ^np+++??+=Koufos,
, ^zz++++=EXTRAWORD
2009a ^cd++++=2009a
; ^zz++++=;
Youlatos ^np+++??+=Youlatos
and ^cc++++=and
Koufos ^np+++??+=Koufos,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
anatomy ^nn++++=anatomy
and ^cc++++=and
in ^in++++=in
locomotor ^nn+++??+=locomotor
and ^cc++++=and
feeding ^nvbg+++xvbg+=feeding
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
pentelicus ^nns+++??+=pentelicus
probably ^rb++++=probably
resembled ^vbd+++xvbn+=resembled
most ^ql+emph+++=most
closely ^rb++++=closely
the ^ati++++=the
modern ^jj+atrb+++=modern
Hanuman ^np+++??+=Hanuman
langur ^nn+++??+=langur,
, ^zz++++=EXTRAWORD
Semnopithecus ^np+++??+=Semnopithecus
entellus ^nns+++??+=entellus
. ^zz++++=.
Hanuman ^np+++??+=Hanuman
langurs ^nns+++??+=langurs
are ^vb+ber+vrb++=are
remarkable ^jj+pred+++=remarkable
for ^in++++=for
their ^pp$+pp3+++=their
broad ^jj+atrb+++=broad
distribution ^nn++++=distribution,
, ^zz++++=EXTRAWORD
morphological ^jj+atrb+++=morphological
variability ^nn++++=variability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
versatility ^nn++++=versatility
in ^in++++=in
locomotor ^nn+++??+=locomotor
regimes ^nns++++=regimes,
, ^zz++++=EXTRAWORD
diets ^nns++++=diets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
structures ^nns++++=structures
( ^zz++++=(
Bishop ^np++++=Bishop,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979
; ^zz++++=;
Roonwal ^np+++??+=Roonwal,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981
; ^zz++++=;
Sayers ^np+++??+=Sayers
and ^cc++++=and
Norconk ^np+++??+=Norconk,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
remarkable ^jj+atrb+++=remarkable
diversity ^nn++++=diversity
and ^cc++++=and
adaptability ^nn++++=adaptability
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
detailed ^jj+atrb+++=detailed
studies ^nns++++=studies
of ^in++++=of
the ^ati++++=the
species ^nn++++=species'
' ^zz++++=EXTRAWORD
locomotion ^nn+++??+=locomotion
( ^zz++++=(
Ripley ^np++++=Ripley,
, ^zz++++=EXTRAWORD
1967 ^cd+date+++=1967
) ^zz++++=)
and ^cc++++=and
diet ^nn++++=diet
( ^zz++++=(
Makwana ^np++++=Makwana,
, ^zz++++=EXTRAWORD
1977 ^cd+date+++=1977
; ^zz++++=;
Srivastava ^np+++??+=Srivastava,
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991
; ^zz++++=;
Sayers ^np+++??+=Sayers
And ^cc++++=and
Norconk ^np++++=Norconk,
 ^zz++++=EXTRAWORD
008 ^cd++++=2008
	 ^zz++++=)
Throughout ^rb++++=throughout
Its ^pp$+it+++=its
Range ^nn++++=range.
 ^zz++++=EXTRAWORD
