Scientific ^jj+atrb+++=Scientific
racism ^nn+++??+=racism
also ^rb++++=also
lingers ^vbz++++=lingers
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
India ^np++++=India's
's ^$++++=EXTRAWORD
colorism ^nn+++??+=colorism,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
given ^vprf+++xvbnx+=given
rise ^vb++++=rise
to ^in++++=to
a ^at++++=a
flourishing ^jj+atrb+++=flourishing
skin ^nn++++=skin-whitening
- ^zz++++=EXTRAWORD
whitening ^nn+++??+=EXTRAWORD
industry ^nn++++=industry
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
products ^nns++++=products
that ^tht+rel+obj++=that
claim ^vb++++=claim
to ^to+vcmp+++=to
impart ^vbi++++=impart
a ^at++++=a
fairer ^jjr+atrb+++=fairer
tone ^nn++++=tone
to ^in++++=to
skin ^nn++++=skin
( ^zz++++=(
Nadeem ^np++++=Nadeem
2014 ^cd++++=2014
, ^zz++++=,
Varghese ^np+++??+=Varghese
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
an ^at++++=an
oversimplification ^nn++++=oversimplification
to ^to++++=to
equate ^vbi++++=equate
the ^ati++++=the
desire ^nn++++=desire
for ^in++++=for
whiteness ^nn++++=whiteness
as ^in++++=as
a ^at++++=a
simple ^jj+atrb+++=simple
effort ^nn++++=effort
to ^to+ncmp+++=to
mimic ^vbi++++=mimic
Caucasian ^np+++??+=Caucasian
or ^cc++++=or
Aryan ^np+++??+=Aryan
skin ^nn++++=skin
tones ^nns++++=tones
( ^zz++++=(
Saraswati ^np++++=Saraswati
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
sociologist ^nn+++??+=sociologist
Shehzad ^np+++??+=Shehzad
Nadeem ^np+++??+=Nadeem
explores ^nns+++??+=explores
how ^wrb+who+++=how
individuals ^nns++++=individuals
today ^nr+tm+++=today
draw ^vb++++=draw
on ^in+ppvb+++=on
the ^ati++++=the
old ^jj+atrb+++=old
Risleyan ^np+++??+=Risleyan
idea ^nn++++=idea
to ^to++++=to
explain ^vbi+vpub+++=explain
lighter ^jjr+atrb+++=lighter
skin ^nn++++=skin
as ^ql++++=as
reflecting ^jj+++xvbg+=reflecting
a ^at++++=a
higher ^jjr+atrb+++=higher
proportion ^nn++++=proportion
of ^in++++=of
Aryan ^np+++??+=Aryan
ancestry ^nn+++??+=ancestry.
. ^zz++++=EXTRAWORD
[ ^zz++++=[T]he
t]he ^nn+++??+=EXTRAWORD
[ ^zz++++=[Aryan
aryan ^jj+atrb+++=EXTRAWORD
invasion ^nn++++=invasion]
] ^zz++++=EXTRAWORD
theory ^nn++++=theory
has ^vbz+hvz+vrb++=has
considerable ^jj+atrb+++=considerable
staying ^jj+atrb++xvbg+=staying
power ^nn++++=power
as ^in++++=as
many ^ap++++=many
light ^jj+atrb+++=light
skinned ^nn+++??+=skinned
Indians ^nn++++=Indians
attribute ^vb++++=attribute
their ^pp$+pp3+++=their
complexions ^nns++++=complexions
to ^in++++=to
such ^abl++++=such
a ^at++++=a
heritage ^nn++++=heritage
( ^zz++++=(
Nadeem ^np++++=Nadeem
2014 ^cd++++=2014
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
226 ^cd++++=226).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Feminist ^np+++??+=Feminist
ethnographers ^nns+++??+=ethnographers
and ^cc++++=and
other ^ap++++=other
social ^jj+atrb+++=social
scientists ^nns++++=scientists
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
the ^ati++++=the
fixation ^nn+++??+=fixation
on ^in++++=on
skin ^nn++++=skin
lightening ^vwbg+++xvbg+=lightening
in ^in++++=in
India ^np++++=India
and ^cc++++=and
other ^ap++++=other
parts ^nns++++=parts
of ^in++++=of
South ^np+pl+++=South
Asia ^np++++=Asia
reinforces ^vbz++++=reinforces
power ^nn++++=power
gradients ^nns++++=gradients
between ^in++++=between
higher ^jjr+atrb+++=higher
and ^cc+phrs+++=and
lower ^jjr+atrb+++=lower
castes ^nns++++=castes
and ^cc++++=and
between ^in++++=between
Westerners ^np+++??+=Westerners
