Writing ^vbg+++xvbg+=Writing
a ^at++++=a
better ^jjr+atrb+++=better
anthropology ^nn++++=anthropology
of ^in++++=of
shamanism ^nn+++??+=shamanism
comes ^vbz++++=comes
down ^rb+phrv+++=down
to ^in+ppvb+++=to
the ^ati++++=the
challenge ^nn++++=challenge
of ^in++++=of
all ^abn++++=all
anthropology ^nn++++=anthropology,
, ^zz++++=EXTRAWORD
understanding ^nvbg+++xvbg+=understanding
the ^ati++++=the
limits ^nns++++=limits,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fragilities ^nns+++??+=fragilities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
the ^ati++++=the
pathbreaking ^nn+++??+=pathbreaking
possibilities ^nns++++=possibilities
of ^in++++=of
good ^jj+atrb+++=good
translation ^nn++++=translation
( ^zz++++=(
Gal ^np++++=Gal
2015 ^cd++++=2015
; ^zz++++=;
Giraldo ^np+++??+=Giraldo
Herrera ^np+++??+=Herrera
2018 ^cd++++=2018
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
9 ^zz++++=9;
; ^zz++++=EXTRAWORD
Pharo ^np+++??+=Pharo
2011 ^cd++++=2011
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
will ^md+prd+++=will
always ^rb++++=always
rightly ^rb++++=rightly
bridle ^nn++++=bridle
at ^in++++=at
the ^ati++++=the
ism ^nn++++=ism
part ^nn++++=part
of ^in++++=of
shamanism ^nn+++??+=shamanism,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
trade ^nn++++=trade-offs
- ^zz++++=EXTRAWORD
offs ^nns+++??+=EXTRAWORD
incur ^nn+++??+=incur
when ^wrb+who+++=when
any ^dti++++=any
typology ^nn+++??+=typology
or ^cc++++=or
model ^nn++++=model
is ^vbz+bez+aux++=is
advanced ^vpsv++agls+xvbnx+=advanced.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
transcultural ^nn+++??+=transcultural
category ^nn++++=category
runs ^vbz++++=runs
this ^dt+dem+++=this
risk ^nn++++=risk.
. ^zz++++=EXTRAWORD
so ^ql++++=So
how ^wrb+who+++=how
best ^jjt++++=best
can ^md+pos+++=can
we ^pp1a+pp1+++=we
render ^vb++++=render
spirit ^nn++++=spirit
worlds ^nns++++=worlds?
? ^zz++++=EXTRAWORD
