[ ^zz++++=[Dalits]
dalits ^nns+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
lived ^vbd+++xvbn+=lived
with ^in+ppvb+++=with
constant ^jj+atrb+++=constant
troubles ^nns++++=troubles
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
making ^nvbg+++xvbg+=making.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
never ^rb++++=never
enjoyed ^vbd+++xvbn+=enjoyed
a ^at++++=a
protected ^nn++++=protected
working ^vwbg+++xvbg+=working-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
stature ^nn++++=stature.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
class ^nn++++=class
outcastes ^nns+++??+=outcastes
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
bare ^jj+atrb+++=bare
minimum ^nn++++=minimum
for ^in++++=for
survival ^nn++++=survival.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seldom ^rb++++=seldom
had ^vb+hv+vrb++=had
a ^at++++=a
stable ^jj+atrb+++=stable
job ^nn++++=job
or ^cc++++=or
a ^at++++=a
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Owing ^in++++=Owing
to ^in++++=to
financial ^jj+atrb+++=financial
distress ^nn++++=distress,
, ^zz++++=EXTRAWORD
many ^ap++++=many
turned ^jj+++xvbn+=turned
to ^in++++=to
drugs ^nns++++=drugs
and ^cc++++=and
crime ^nn++++=crime
as ^in++++=as
refuge ^nn++++=refuge
as ^ql++++=as
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
only ^ap+down+++=only
avenues ^nns++++=avenues
open ^jj++++=open
for ^in++++=for
survival ^nn++++=survival.
. ^zz++++=EXTRAWORD
Fights ^vbz++++=Fights
verbal ^jj+atrb+++=verbal
and ^cc+phrs+++=and
physical ^jj+atrb+++=physical
violence ^nn++++=violence,
, ^zz++++=EXTRAWORD
prostitution ^nn++++=prostitution,
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
alcohol ^nn++++=alcohol
and ^cc++++=and
drug ^nn++++=drug
abuse ^nn++++=abuse
were ^vbd+bed+vrb++=were
common ^jj+pred+++=common.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
the ^ati++++=the
circumstances ^nns++++=circumstances
I ^pp1a+pp1+++=I
Grew ^vbd+++xvbn+=grew
Up ^rp++++=up
In ^in+strn+++=in.
 ^zz++++=EXTRAWORD
 ^zz++++=(p.
P ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
 ^zz++++=6)
	 ^zz++++=EXTRAWORD
