Suggestions ^nns++++=Suggestions
for ^in++++=for
the ^ati++++=the
timing ^nn++++=timing
of ^in++++=of
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
range ^nn++++=range
widely ^rb+cnj+++=widely,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
paleolithic ^nn+++??+=paleolithic
use ^nn++++=use
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
Neolithic ^jj+atrb+++=Neolithic
domestication ^nn+++??+=domestication
( ^zz++++=(
Smith ^np++++=Smith
& ^zz++++=&
Zeder ^np+++??+=Zeder
2013 ^cd++++=2013
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
depopulation ^nn+++??+=depopulation
and ^cc++++=and
forest ^nn++++=forest
recovery ^nn++++=recovery
produced ^vwbn+++xvbn+=produced
by ^in++++=by
the ^ati++++=the
Columbian ^np+++??+=Columbian
exchange ^nn++++=exchange
in ^in++++=in
1610 ^cd+date+++=1610
( ^zz++++=(
Lewis ^np++++=Lewis
& ^zz++++=&
Maslin ^np+++??+=Maslin
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
late ^jj++++=late-eighteenth-century
- ^zz++++=EXTRAWORD
eighteenth ^od++++=EXTRAWORD
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
Industrial ^jj+atrb+++=Industrial
Revolution ^nn++++=Revolution
in ^in++++=in
Great ^jj+atrb+++=Great
Britain ^np++++=Britain,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
post ^nn++++=post
World ^nn++++=World
War ^nn++++=War
Ii ^np+++??+=II
Great ^jj+atrb+++=Great
Acceleration ^nn++++=Acceleration
with ^in++++=with
the ^ati++++=the
associated ^jj+++xvbn+=associated
J ^zz++++=J-curves
- ^zz++++=EXTRAWORD
curves ^nns++++=EXTRAWORD
in ^in++++=in
consumption ^nn++++=consumption
of ^in++++=of
multiple ^jj+atrb+++=multiple
natural ^jj+atrb+++=natural
resources ^nns++++=resources
( ^zz++++=(
Lewis ^np++++=Lewis
& ^zz++++=&
Maslin ^np+++??+=Maslin
2015 ^cd++++=2015
, ^zz++++=,
Steffen ^np+++??+=Steffen
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
Anthropocene ^np+++??+=Anthropocene
of ^in++++=of
Earth ^nn++++=Earth
systems ^nns++++=systems
science ^nn++++=science,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
global ^jj++++=global-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
impacts ^nns+++??+=impacts
of ^in++++=of
human ^jj+atrb+++=human
activities ^nns++++=activities
on ^in++++=on
simulations ^nns+++??+=simulations
of ^in++++=of
the ^ati++++=the
Earth ^nn++++=Earth
system ^nn++++=system
( ^zz++++=(
Steffen ^np++++=Steffen
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=),
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
different ^jj+pred+++=different
from ^in++++=from
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
of ^in++++=of
geologists ^nns++++=geologists.
. ^zz++++=EXTRAWORD
For ^in++++=For
stratigraphers ^nns+++??+=stratigraphers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
depends ^vbz++++=depends
on ^in++++=on
whether ^cs+who+++=whether
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
globally ^nn++++=globally
distributed ^vwbn+++xvbn+=distributed
and ^cc++++=and
legible ^jj+atrb+++=legible
stratigraphic ^nn+++??+=stratigraphic
marker ^nn++++=marker
that ^tht+rel+subj++=that
can ^md+pos+++=can
provide ^vb+vsua+++=provide
a ^at++++=a
golden ^jj+atrb+++=golden
spike ^nn+++??+=spike
marking ^vwbg+++xvbg+=marking
the ^ati++++=the
boundary ^nn++++=boundary
between ^in++++=between
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
and ^cc++++=and
Holocene ^np+++??+=Holocene
epochs ^nns++++=epochs
( ^zz++++=(
Swanson ^np++++=Swanson
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
Working ^vwbg+++xvbg+=Working
Group ^nn++++=Group
recommended ^vbd+vsua++xvbn+=recommended
to ^in++++=to
the ^ati++++=the
International ^jj+atrb+++=International
Commission ^nn++++=Commission
on ^in++++=on
Stratigraphy ^np+++??+=Stratigraphy
that ^tht+rel+obj++=that
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
epoch ^nn++++=epoch
should ^md+nec+++=should
be ^vb+be+aux++=be
marked ^vpsv++by+xvbnx+=marked
by ^in++++=by
the ^ati++++=the
post ^nn++++=post
World ^nn++++=World
War ^nn++++=War
Ii ^np+++??+=II
Great ^jj+atrb+++=Great
Acceleration ^nn++++=Acceleration,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
nuclear ^jj+atrb+++=nuclear
tests ^nns++++=tests
of ^in++++=of
1945 ^cd+date+++=1945
1963 ^cd+date+++=1963
as ^ql++++=as
leading ^jj+atrb++xvbg+=leading
candidates ^nns++++=candidates
( ^zz++++=(
Subramanian ^np++++=Subramanian
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
scientists ^nns++++=scientists
and ^cc++++=and
historians ^nns++++=historians
are ^vb+ber+vrb++=are
quite ^rb++++=quite
comfortable ^jj+pred+++=comfortable
with ^in++++=with
uneven ^jj+atrb+++=uneven
periodizations ^nns+++??+=periodizations,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
many ^ap++++=many
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
starting ^nvbg+++xvbg+=starting
at ^rb++++=at
different ^jj+atrb+++=different
times ^nns++++=times
and ^cc++++=and
places ^nns++++=places
and ^cc++++=and
beyond ^in++++=beyond
the ^ati++++=the
usual ^jj+atrb+++=usual
locations ^nns++++=locations
in ^in++++=in
Europe ^np++++=Europe
( ^zz++++=(
Morrison ^np++++=Morrison
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
produced ^vprf+++xvbnx+=produced
the ^ati++++=the
environmental ^jj+atrb+++=environmental
impacts ^nns++++=impacts
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
detecting ^jj+pred+++=detecting.
. ^zz++++=EXTRAWORD
