Rb4 ^np+++??+=RB4
thin ^jj+atrb+++=thin
section ^nn+nom+++=section
from ^in++++=from
Su5 ^np+++??+=SU5
shows ^vbz+vprv+++=shows
a ^at++++=a
silty ^nn+++??+=silty-clay
- ^zz++++=EXTRAWORD
clay ^nn++++=EXTRAWORD
basal ^jj+atrb+++=basal
mass ^nn++++=mass
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
previous ^jj+atrb+++=previous
one ^pn++++=one
with ^in++++=with
reworked ^jj+atrb++xvbn+=reworked
carbonate ^nn+nom+++=carbonate
nodules ^nns+++??+=nodules
and ^cc++++=and
pockets ^nns++++=pockets
of ^in++++=of
fine ^nn++++=fine
to ^in++++=to
medium ^jjb+atrb+++=medium
quartz ^nn++++=quartz
sand ^nn++++=sand
( ^zz++++=(50
50 ^cd++++=EXTRAWORD
500 ^cd++++=500
m ^zz++++=m).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
pedological ^jj+atrb+++=pedological
features ^nns++++=features
consist ^nn+nom+++=consist
simply ^rb++++=simply
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
discontinuous ^jj+atrb+++=discontinuous
slits ^nns++++=slits
and ^cc++++=and
channels ^nns++++=channels
that ^tht+rel+subj++=that
show ^vb+vprv+tht0++=show
very ^ql+amp+++=very
weak ^jj+atrb+++=weak
pedality ^nn+nom+++=pedality
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
essentially ^rb+down+++=essentially
colluvial ^jj+atrb+++=colluvial
sediment ^nn+nom+++=sediment.
. ^zz++++=EXTRAWORD
