Indications ^nns++++=Indications
of ^in++++=of
both ^abx++++=both
arboreality ^nn+++??+=arboreality
and ^cc++++=and
bipedality ^nn+++??+=bipedality
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
detailed ^jj+atrb+++=detailed
studies ^nns++++=studies
of ^in++++=of
other ^ap++++=other
elements ^nns++++=elements
of ^in++++=of
Stw ^np+++??+=StW
573 ^cd++++=573,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
hand ^nn++++=hand
( ^zz++++=(T.
t ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Jashashvili ^np+++??+=Jashashvili,
, ^zz++++=EXTRAWORD
K.j ^np+++??+=K.J.
. ^zz++++=EXTRAWORD
Carlson ^np+++??+=Carlson,
, ^zz++++=EXTRAWORD
B.a ^np+++??+=B.A.
. ^zz++++=EXTRAWORD
Patel ^np+++??+=Patel,
, ^zz++++=EXTRAWORD
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Kuman ^np+++??+=Kuman,
, ^zz++++=EXTRAWORD
J.l ^np+++??+=J.L.
. ^zz++++=EXTRAWORD
Heaton ^np+++??+=Heaton,
, ^zz++++=EXTRAWORD
T.r ^np+++??+=T.R.
. ^zz++++=EXTRAWORD
Pickering ^np++++=Pickering,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Beaudet ^np+++??+=Beaudet,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Crompton ^np+++??+=Crompton,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Bruxelles ^np+++??+=Bruxelles,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Stratford ^np++++=Stratford,
, ^zz++++=EXTRAWORD
R.j ^np+++??+=R.J.
. ^zz++++=EXTRAWORD
Clarke ^np++++=Clarke,
, ^zz++++=EXTRAWORD
submitted ^j+++xvbn+=submitted),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
shoulder ^nn++++=shoulder
( ^zz++++=(
Carlson ^np++++=Carlson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
foot ^nn++++=foot
and ^cc++++=and
ankle ^nn++++=ankle
( ^zz++++=(
Clarke ^np++++=Clarke
& ^zz++++=&
Tobias ^np+++??+=Tobias
1995 ^cd+date+++=1995
, ^zz++++=,
Clarke ^np++++=Clarke
1998 ^cd+date+++=1998
, ^zz++++=,
Deloison ^np+++??+=Deloison
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
Micro ^np+++??+=Micro-computed
- ^zz++++=EXTRAWORD
computed ^vbd+++xvbn+=EXTRAWORD
tomography ^nn+++??+=tomography
( ^zz++++=(microCT)
microct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies
of ^in++++=of
the ^ati++++=the
endocranial ^nn+++??+=endocranial
and ^cc++++=and
inner ^jjb+atrb+++=inner
ear ^nn++++=ear
anatomy ^nn++++=anatomy
and ^cc++++=and
the ^ati++++=the
atlas ^nn++++=atlas
vertebra ^nn+++??+=vertebra
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
published ^vpsv++by+xvbnx+=published
by ^in++++=by
Beaudet ^np+++??+=Beaudet
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019a
2019a ^cd++++=EXTRAWORD
, ^zz++++=,
b ^zz++++=b
, ^zz++++=,
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
revealing ^vbg+vprv++xvbg+=revealing
both ^abx++++=both
ape ^nn++++=ape-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
and ^cc++++=and
human ^jj++++=human-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
features ^nns++++=features
relating ^vbg+++xvbg+=relating
to ^in++++=to
arboreal ^nn++++=arboreal
and ^cc++++=and
terrestrial ^jj+atrb+++=terrestrial
adaptations ^nns++++=adaptations.
. ^zz++++=EXTRAWORD
