Consistent ^jj++++=Consistent
with ^in++++=with
several ^ap++++=several
previous ^jj+atrb+++=previous
studies ^nns++++=studies
based ^vwbn+++xvbn+=based
on ^in++++=on
partial ^jj+atrb+++=partial
mitochondrial ^nn+++??+=mitochondrial
Dna ^np+++??+=DNA
sequences ^nns++++=sequences,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
support ^nn++++=support
mitochondrial ^nn+++??+=mitochondrial
Dna ^np+++??+=DNA
paraphyly ^nn+++??+=paraphyly
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
nemestrina ^nn+++??+=nemestrina
( ^zz++++=(
Figure ^np++++=Figure
2 ^zz++++=2
, ^zz++++=,
Figure ^nn++++=Figure
4 ^zz++++=4
; ^zz++++=;
Evans ^np++++=Evans
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
Mitochondrial ^np+++??+=Mitochondrial
genomes ^nns+++??+=genomes
of ^in++++=of
macaques ^nns+++??+=macaques
from ^in++++=from
mainland ^nn++++=mainland
Asia ^np++++=Asia
that ^tht+rel+subj++=that
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
silenus ^np++++=silenus
group ^nn++++=group
( ^zz++++=(
Macaca ^np++++=Macaca
silenus ^np++++=silenus
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
from ^in++++=from
the ^ati++++=the
Western ^jj+atrb+++=Western
Ghats ^np+++??+=Ghats
of ^in++++=of
India ^np++++=India,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Macaca ^np+++??+=Macaca
leonina ^nn+++??+=leonina
, ^zz++++=,
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
from ^in++++=from
portions ^nns++++=portions
of ^in++++=of
mainland ^nn++++=mainland
Southeast ^np+++??+=Southeast
Asia ^np++++=Asia
including ^in++++=including
northeastern ^nn+++??+=northeastern
India ^np++++=India,
, ^zz++++=EXTRAWORD
Bangladesh ^np+++??+=Bangladesh,
, ^zz++++=EXTRAWORD
Thailand ^np+++??+=Thailand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vietnam ^np++++=Vietnam)
) ^zz++++=EXTRAWORD
form ^nn++++=form
a ^at++++=a
clade ^nn+++??+=clade
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
sister ^nn++++=sister
to ^in++++=to
a ^at++++=a
M ^zz++++=M.
. ^zz++++=EXTRAWORD
nemestrina ^nn+++??+=nemestrina
clade ^nn+++??+=clade
made ^vbd+++xvbn+=made
up ^rp++++=up
of ^in++++=of
