Santa ^&fw++++=Santa
Catalina ^np+++??+=Catalina
cave ^nn++++=cave
( ^zz++++=(Lekeitio,
lekeitio ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Biscay ^np+++??+=Biscay)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
excavated ^vpsv++agls+xvbnx+=excavated
between ^in++++=between
1982 ^cd+date+++=1982
and ^cc++++=and
2000 ^cd++++=2000.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
archeological ^jj+atrb+++=archeological
levels ^nns++++=levels
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified:
: ^zz++++=EXTRAWORD
Upper ^jjb++++=Upper
Magdalenian ^np+++??+=Magdalenian
( ^zz++++=(Level
level ^nn++++=EXTRAWORD
Iii ^np+++??+=III),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Final ^jj+atrb+++=Final
Magdalenian ^np+++??+=Magdalenian
( ^zz++++=(Level
level ^nn++++=EXTRAWORD
Ii ^np+++??+=II)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Azilian ^np+++??+=Azilian
( ^zz++++=(Level
level ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
Berganza ^np+++??+=Berganza
Gochi ^np+++??+=Gochi
and ^cc++++=and
Arribas ^np+++??+=Arribas
Pastor ^nn++++=Pastor,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
Magdalenian ^np+++??+=Magdalenian
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
three ^cd++++=three
human ^jj+atrb+++=human
teeth ^nns++++=teeth
were ^vbd+bed+aux++=were
recovered ^vpsv++agls+xvbnx+=recovered.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
of ^in++++=of
them ^pp3o+pp3+++=them
are ^vb+ber+vrb++=are
deciduous ^jj+atrb+++=deciduous
teeth ^nns++++=teeth
( ^zz++++=(
Table ^np++++=Table
1 ^zz++++=1
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
Upper ^jjb++++=Upper
Magdalenian ^np+++??+=Magdalenian
( ^zz++++=(Level
level ^nn++++=EXTRAWORD
Iii ^np+++??+=III),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
level ^nn++++=level
dated ^jj++++=dated
between ^in++++=between
10,360 ^cd++++=10,360
90 ^cd++++=90
and ^cc++++=and
12,425 ^cd++++=12,425
90 ^cd++++=90
uncal ^nn++++=uncal
Bp ^np+++??+=BP
( ^zz++++=(
Berganza ^np++++=Berganza
Gochi ^np+++??+=Gochi
and ^cc++++=and
Arribas ^np+++??+=Arribas
Pastor ^nn++++=Pastor,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
the ^ati++++=the
complete ^nn++++=complete
set ^vbd+++xvbn+=set
of ^in++++=of
chronology ^nn++++=chronology
data ^nns++++=data
for ^in++++=for
Level ^nn++++=Level
Iii ^np+++??+=III
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbnx+=provided
on ^in++++=on
Table ^nn++++=Table
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
specimens ^nns++++=specimens
are ^vb+ber+aux++=are
housed ^vbd+++xvbn+=housed
at ^rb++++=at
the ^ati++++=the
arkeologi ^np++++=Arkeologi
museoa ^np++++=Museoa
in ^in++++=in
bilbao ^np++++=Bilbao.
. ^zz++++=EXTRAWORD
