The ^ati++++=The
contention ^nn++++=contention
of ^in++++=of
this ^dt+dem+++=this
brief ^jj++++=brief
survey ^vb++++=survey
of ^in++++=of
literatures ^nns++++=literatures
on ^in++++=on
shamanism ^nn+++??+=shamanism
over ^in++++=over
the ^ati++++=the
last ^ap++++=last
three ^cd++++=three
decades ^nns++++=decades
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
that ^dt+dem+++=that
shamanism ^nn+++??+=shamanism's
's ^$++++=EXTRAWORD
indexical ^nn+++??+=indexical
relationship ^nn++++=relationship
to ^in++++=to
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
anthropology ^nn++++=anthropology
remains ^nns++++=remains
firmly ^rb++++=firmly
in ^in++++=in
place ^nn++++=place,
, ^zz++++=EXTRAWORD
continuing ^vbg+++xvbg+=continuing
to ^in++++=to
chart ^nn++++=chart
concerns ^nns++++=concerns
in ^in++++=in
the ^ati++++=the
discipline ^nn++++=discipline,
, ^zz++++=EXTRAWORD
much ^ap++++=much
as ^ql++++=as
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
in ^in++++=in
religious ^jj+atrb+++=religious
studies ^nns++++=studies
and ^cc++++=and
related ^jj+atrb++xvbn+=related
area ^nn++++=area-studies
- ^zz++++=EXTRAWORD
studies ^nns++++=EXTRAWORD
fields ^nns++++=fields
( ^zz++++=(
dubois ^np++++=Dubois
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
