Our ^pp$+pp1+++=Our
findings ^nns++++=findings
demonstrate ^nn+nom+++=demonstrate
that ^tht+vcmp+++=that
under ^in++++=under
the ^ati++++=the
right ^jj+atrb+++=right
ecological ^jj+atrb+++=ecological
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
capuchins ^nns+++??+=capuchins
can ^md+pos+++=can
readily ^rb++splt++=readily
expand ^vb++++=expand
into ^in++++=into
terrestrial ^jj+atrb+++=terrestrial
niches ^nns+++??+=niches
and ^cc++++=and
suggest ^vb+vpub+tht0++=suggest
that ^tht+vcmp+++=that
reduced ^vbd+++xvbn+=reduced
predation ^nn+nom+++=predation
risk ^vb++++=risk
may ^md+pos+++=may
be ^vb+be+vrb++=be
the ^ati++++=the
key ^nn++++=key
to ^in++++=to
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
a ^at++++=a
more ^rbr++++=more
terrestrial ^jj+atrb+++=terrestrial
lifestyle ^nn+++??+=lifestyle.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
including ^in++++=including
reduced ^jj+atrb++xvbn+=reduced
connectivity ^nn+nom+++=connectivity
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest
canopy ^nn++++=canopy
or ^cc++++=or
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
an ^at++++=an
abundant ^jj+atrb+++=abundant
source ^nn++++=source
of ^in++++=of
food ^nn++++=food
on ^in++++=on
the ^ati++++=the
forest ^nn++++=forest
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
also ^rb++splt++=also
play ^vb++++=play
an ^at++++=an
important ^jj+atrb+++=important
role ^nn++++=role.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
not ^xnot++not++=not
yet ^rb++++=yet
explicitly ^rb++++=explicitly
tested ^vbd+++xvbn+=tested
these ^dt+dem+++=these
alternative ^nn++++=alternative
( ^zz++++=(although
although ^cs+con+++=EXTRAWORD
not ^xnot++not++=not
mutually ^rb++++=mutually
exclusive ^jj++++=exclusive)
) ^zz++++=EXTRAWORD
hypotheses ^nns+nom+++=hypotheses,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
unlikely ^jj++++=unlikely
that ^tht+jcmp+++=that
the ^ati++++=the
capuchins ^nns+++??+=capuchins
in ^in++++=in
our ^pp$+pp1+++=our
study ^nn++++=study
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground
because ^cs+cos+++=because
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
the ^ati++++=the
forest ^npl++++=forest
prevented ^vbd+++xvbn+=prevented
them ^pp3o+pp3+++=them
from ^in++++=from
traveling ^nn+nom+++=traveling
arboreally ^rb++++=arboreally.
. ^zz++++=EXTRAWORD
Howler ^np+++??+=Howler
monkeys ^nns++++=monkeys
were ^vbd+bed+aux++=were
never ^rb++splt++=never
captured ^vpsv++by+xvbnx+=captured
by ^in++++=by
our ^pp$+pp1+++=our
camera ^nn++++=camera
traps ^nns++++=traps
in ^in++++=in
Coiba ^np+++??+=Coiba
and ^cc++++=and
Jicaron ^np+++??+=Jicaron,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
move ^vb++++=move
exclusively ^rb++++=exclusively
in ^in++++=in
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
regularly ^rb++++=regularly
observe ^vb+vprv+++=observe
capuchin ^jj+atrb++??+=capuchin
groups ^nns++++=groups
traveling ^nn+nom+++=traveling
arboreally ^rb++++=arboreally
on ^in++++=on
both ^abx++++=both
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
encounter ^nn+nom+++=encounter
groups ^nns++++=groups
of ^in++++=of
capuchins ^nns+++??+=capuchins
traveling ^nn+nom+++=traveling
terrestrially ^rb+cnj+++=terrestrially,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
often ^rb++++=often
respond ^vb++++=respond
to ^in++++=to
us ^pp1o+pp1+++=us
by ^in++++=by
fleeing ^nn++++=fleeing
through ^in++++=through
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
demonstrating ^vbg+++xvbg+=demonstrating
that ^tht+vcmp+++=that
arboreal ^jj+atrb+++=arboreal
locomotion ^nn+nom+++=locomotion
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
in ^in++++=in
these ^dt+dem+++=these
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
