Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
build ^nn++++=build
on ^in++++=on
existing ^xvbg+++xvbg+=existing
research ^nn++++=research
using ^vwbg+++xvbg+=using
nonhuman ^jj+atrb+++=nonhuman
primates ^nns+nom+++=primates
to ^to++++=to
inform ^vbi++++=inform
our ^pp$+pp1+++=our
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
hominin ^nn+++??+=hominin
hybrids ^nns++++=hybrids
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ackermann ^np+++??+=Ackermann
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
, ^zz++++=,
2014 ^cd++++=2014
; ^zz++++=;
Boel ^np+++??+=Boel
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
; ^zz++++=;
Martinez ^np+++??+=Martinez
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
use ^vb++++=use
a ^at++++=a
large ^jj+atrb+++=large
sample ^nn++++=sample
of ^in++++=of
captive ^jj++++=captive
full ^jj++++=full-bred
- ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=EXTRAWORD
and ^cc++++=and
admixed ^jj+++xvbn+=admixed
Chinese ^jj+atrb+++=Chinese
and ^cc+phrs+++=and
Indian ^jj+atrb+++=Indian
rhesus ^nns+++??+=rhesus
macaques ^nns+++??+=macaques
( ^zz++++=(
Macaca ^np++++=Macaca
mulatta ^nn+++??+=mulatta
) ^zz++++=)
to ^to++++=to
elucidate ^nn+nom+++=elucidate
the ^ati++++=the
expected ^jj+atrb++xvbn+=expected
morphological ^jj+atrb+++=morphological
consequences ^nns+nom+++=consequences
of ^in++++=of
admixture ^nn++++=admixture
between ^in++++=between
closely ^rb++++=closely
related ^jj+atrb++xvbn+=related
primate ^nn+nom+++=primate
species ^nn++++=species,
, ^zz++++=EXTRAWORD
including ^in++++=including
hominins ^nns+++??+=hominins.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
particular ^jj+atrb+++=particular
interest ^nn++++=interest
because ^cs+cos+++=because
Chinese ^jj+atrb+++=Chinese
and ^cc+phrs+++=and
Indian ^jj+atrb+++=Indian
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
mixing ^vbg+++xvbgx+=mixing
in ^in++++=in
this ^dt+dem+++=this
captive ^jj+atrb+++=captive
colony ^nn++++=colony
for ^in++++=for
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
also ^rb++++=also
examines ^vbz++++=examines
how ^wrb+who+++=how
admixture ^nn++++=admixture
effects ^nns++++=effects
on ^in++++=on
phenotype ^nn+++??+=phenotype
vary ^vb++++=vary
with ^in++++=with
ancestry ^nn++++=ancestry
contributions ^nns+nom+++=contributions
from ^in++++=from
the ^ati++++=the
two ^cd++++=two
subspecies ^nns++++=subspecies
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
