Fieldwork ^np+++??+=Fieldwork
at ^in++++=at
Shuitangba ^np+++??+=Shuitangba
and ^cc++++=and
research ^nn++++=research
on ^in++++=on
retrieved ^vbd+++xvbn+=retrieved
fossil ^nn++++=fossil
materials ^nns+nom+++=materials
and ^cc++++=and
sediments ^nns+nom+++=sediments
were ^vbd+bed+aux++=were
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
grants ^nns++++=grants
from ^in++++=from
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
National ^jj+atrb+++=National
Science ^nn+nom+++=Science
Foundation ^nn+nom+++=Foundation
( ^zz++++=(
Bcs ^np++++=BCS-0321893
- ^zz++++=EXTRAWORD
0321893 ^nn+++??+=EXTRAWORD
to ^in++++=to
F.c ^np+++??+=F.C.
. ^zz++++=EXTRAWORD
Howell ^np++++=Howell
and ^cc++++=and
T ^zz++++=T.
. ^zz++++=EXTRAWORD
White ^jj++++=White,
, ^zz++++=EXTRAWORD
Bcs ^np+++??+=BCS-1035897
- ^zz++++=EXTRAWORD
1035897 ^cd++++=EXTRAWORD
to ^in++++=to
D.f.s ^np+++??+=D.F.S.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
N.g.j ^np+++??+=N.G.J.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bcs ^np+++??+=BCS-1227964
- ^zz++++=EXTRAWORD
1227964 ^cd++++=EXTRAWORD
to ^in++++=to
D.f.s ^np+++??+=D.F.S.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bcs ^np+++??+=BCS-1227927
- ^zz++++=EXTRAWORD
1227927 ^cd++++=EXTRAWORD
to ^in++++=to
N.g.j ^np+++??+=N.G.J.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bcs ^np+++??+=BCS-1227838
- ^zz++++=EXTRAWORD
1227838 ^cd++++=EXTRAWORD
to ^in++++=to
J.k. ^np+++??+=J.K.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
grants ^nns++++=grants
from ^in++++=from
the ^ati++++=the
College ^nn++++=College
of ^in++++=of
Liberal ^jj+atrb+++=Liberal
Arts ^nns++++=Arts
of ^in++++=of
The ^ati++++=The
Pennsylvania ^np+++??+=Pennsylvania
State ^nn++++=State
University ^npl+nom+++=University
and ^cc++++=and
from ^in++++=from
Bryn ^np++++=Bryn
Mawr ^np+++??+=Mawr
College ^npl++++=College
. ^zz++++=.
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
grateful ^jj+pred+++=grateful
to ^to+jcmp+++=to
Ji ^vb+++??+=Ji
Yu ^np+++??+=Yu
for ^in++++=for
his ^pp$+pp3+++=his
expert ^jj+atrb+++=expert
preparation ^nn+nom+++=preparation
of ^in++++=of
the ^ati++++=the
Mesopithecus ^np+++??+=Mesopithecus
fossils ^nns++++=fossils
from ^in++++=from
Shuitangba ^np+++??+=Shuitangba
and ^cc++++=and
for ^in++++=for
making ^xvbg+++xvbg+=making
study ^nn++++=study
casts ^nns+++??+=casts.
. ^zz++++=EXTRAWORD
Christine ^np++++=Christine
Argot ^np+++??+=Argot
from ^in++++=from
the ^ati++++=the
Mus ^np+++??+=Mus
um ^uh++++=um
National ^jj++++=National
de ^&fw++++=de
Histoire ^np+++??+=Histoire
Naturelle ^np+++??+=Naturelle
in ^in++++=in
Paris ^np++++=Paris
is ^vbz+bez+aux++=is
thanked ^vpsv++agls+xvbnx+=thanked
for ^in++++=for
providing ^xvbg+++xvbg+=providing
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
collection ^nn+nom+++=collection
of ^in++++=of
Mesopithecus ^np+++??+=Mesopithecus
pentelicus ^nns+++??+=pentelicus
from ^in++++=from
Pikermi ^np+++??+=Pikermi
on ^in++++=on
repeated ^vbd+++xvbn+=repeated
visits ^nns++++=visits
over ^in++++=over
a ^at++++=a
decade ^nn++++=decade.
. ^zz++++=EXTRAWORD
George ^np++++=George
Chaplin ^np+++??+=Chaplin
is ^vbz+bez+aux++=is
thanked ^vpsv++agls+xvbnx+=thanked
generously ^rb++++=generously
for ^in++++=for
creating ^xvbg+++xvbg+=creating
Figure ^nn++++=Figure
1 ^zz++++=1
, ^zz++++=,
Figure ^nn++++=Figure
11 ^cd++++=11
, ^zz++++=,
for ^in++++=for
undertaking ^xvbg+++xvbg+=undertaking
the ^ati++++=the
original ^jj+atrb+++=original
calculations ^nns+nom+++=calculations
of ^in++++=of
Mesopithecus ^np+++??+=Mesopithecus
dispersal ^nn+nom+++=dispersal
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
many ^ap++++=many
discussions ^nns++++=discussions
about ^in++++=about
the ^ati++++=the
pelage ^nn++++=pelage
characteristics ^nns++++=characteristics
of ^in++++=of
Asian ^nn++++=Asian
colobines ^nns+++??+=colobines.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
grateful ^jj+pred+++=grateful
to ^to+jcmp+++=to
Dionisios ^vb+++??+=Dionisios
