Ancient ^jj+atrb+++=Ancient
states ^nns++++=states
claims ^vb++++=claims
to ^to+vcmp+++=to
their ^pp$+pp3+++=their
surroundings ^nns++++=surroundings
were ^vbd+bed+aux++=were
effectively ^rb++splt++=effectively
demonstrated ^vpsv++agls+xvbnx+=demonstrated
in ^in++++=in
the ^ati++++=the
optimistic ^jj+atrb+++=optimistic
language ^nn++++=language
of ^in++++=of
control ^nn++++=control,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Romans ^nn++++=Romans
reference ^nn++++=reference
to ^in++++=to
the ^ati++++=the
entire ^jjb++++=entire
Mediterranean ^np++++=Mediterranean
as ^ql++++=as
mare ^nn++++=mare
nostrum ^nn+++??+=nostrum
( ^zz++++=(
our ^pp$+pp1+++=our
sea ^nn++++=sea
) ^zz++++=)
by ^in++++=by
the ^ati++++=the
first ^od++++=first
century ^nn++++=century
bce ^nn+++??+=bce
( ^zz++++=(
Gomes ^np++++=Gomes
2020 ^cd++++=2020
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
498 ^cd++++=498)
) ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
centralizing ^nn+++??+=centralizing
reference ^nn++++=reference
to ^in++++=to
the ^ati++++=the
Middle ^jjb++++=Middle
Kingdom ^npl++++=Kingdom
as ^ql++++=as
early ^jj++++=early
as ^ql++++=as
the ^ati++++=the
Shang ^np++++=Shang
period ^nn++++=period
of ^in++++=of
the ^ati++++=the
second ^od++++=second
millennium ^nn++++=millennium
bce ^nn+++??+=bce
( ^zz++++=(
Kwong ^np++++=Kwong
2015 ^cd++++=2015
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
785 ^cd++++=785).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
optimism ^nn++++=optimism
( ^zz++++=(with
with ^in++++=EXTRAWORD
its ^pp$+it+++=its
attendant ^jj+atrb+++=attendant
broadcasting ^nn++++=broadcasting
of ^in++++=of
the ^ati++++=the
potential ^nn++++=potential
of ^in++++=of
force ^vb++++=force
to ^in+vcmp+++=to
back ^jjb++++=back
up ^rp++++=up
the ^ati++++=the
claim ^nn++++=claim)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
insufficient ^jj+pred+++=insufficient,
, ^zz++++=EXTRAWORD
states ^nns++++=states
also ^rb++++=also
constructed ^vbd+++xvbn+=constructed
physical ^jj+atrb+++=physical
barriers ^nns++++=barriers
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
220 ^cd++++=220-km
- ^zz++++=EXTRAWORD
km ^nnu++++=EXTRAWORD
Tr ^nn++++=Tr
s ^zz++++=s
Long ^rb++++=Long
Mur ^np+++??+=Mur
of ^in++++=of
third ^od++++=third-millennium
- ^zz++++=EXTRAWORD
millennium ^nn++++=EXTRAWORD
Ebla ^np+++??+=Ebla
( ^zz++++=(
Lafont ^np++++=Lafont
2010 ^cd++++=2010
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
multiple ^jj+atrb+++=multiple
defensive ^jj+atrb+++=defensive
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
first ^od++++=first-millennium
- ^zz++++=EXTRAWORD
millennium ^nn++++=EXTRAWORD
ce ^&fw++++=ce
Sassanians ^np+++??+=Sassanians
( ^zz++++=(
Howard ^np++++=Howard-Johnston
- ^zz++++=EXTRAWORD
johnston ^np++++=EXTRAWORD
1995 ^cd+date+++=1995
) ^zz++++=),
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
multiple ^jj+atrb+++=multiple
walls ^nns++++=walls
of ^in++++=of
China ^np++++=China
( ^zz++++=(F.
f ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Li ^np+++??+=Li
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
Roads ^nns++++=Roads,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
technically ^rb++++=technically
an ^at++++=an
infrastructure ^nn+++??+=infrastructure
that ^tht+rel+subj++=that
crosses ^vbz++++=crosses
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
nonetheless ^rb+cnj+++=nonetheless
also ^rb++++=also
marked ^jj+++xvbn+=marked
the ^ati++++=the
ability ^nn++++=ability
of ^in++++=of
a ^at++++=a
political ^jj+atrb+++=political
entity ^nn++++=entity
to ^to++++=to
define ^vbi++++=define
its ^pp$+it+++=its
landscape ^nn++++=landscape
through ^in++++=through
the ^ati++++=the
end ^nn++++=end
points ^nns++++=points
of ^in++++=of
travel ^nn++++=travel,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
100 ^cd++++=100-km
- ^zz++++=EXTRAWORD
km ^nnu++++=EXTRAWORD
causeway ^nn++++=causeway
between ^in++++=between
the ^ati++++=the
Maya ^np+++??+=Maya
sites ^nns++++=sites
of ^in++++=of
Coba ^np+++??+=Coba
and ^cc++++=and
Yaxuna ^np+++??+=Yaxuna
( ^zz++++=(
Gonz ^np++++=Gonz
lez ^nn+++??+=lez
& ^zz++++=&
Stanton ^np+++??+=Stanton
2013 ^cd++++=2013
) ^zz++++=),
, ^zz++++=EXTRAWORD
Inka ^np+++??+=Inka
roads ^nns++++=roads
of ^in++++=of
the ^ati++++=the
Andes ^np+++??+=Andes
( ^zz++++=(
Hyslop ^np++++=Hyslop
1984 ^cd+date+++=1984
) ^zz++++=),
, ^zz++++=EXTRAWORD
Neo ^np+++??+=Neo-Assyrian
- ^zz++++=EXTRAWORD
assyrian ^nn++++=EXTRAWORD
roads ^nns++++=roads
( ^zz++++=(
D ^zz++++=D
ring ^nn++++=ring
2018 ^cd++++=2018
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
roads ^nns++++=roads
of ^in++++=of
the ^ati++++=the
Roman ^jj+atrb+++=Roman
Empire ^nn++++=Empire
( ^zz++++=(
Kolb ^np++++=Kolb
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
the ^ati++++=the
internal ^jj+atrb+++=internal
mechanisms ^nns++++=mechanisms
of ^in++++=of
roads ^nns++++=roads
and ^cc++++=and
railroads ^nns+++??+=railroads
can ^md+pos+++=can
still ^rb++splt++=still
mark ^vb++++=mark
a ^at++++=a
sharp ^jj+atrb+++=sharp
terminus ^nns+++??+=terminus
of ^in++++=of
national ^jj+atrb+++=national
jurisdiction ^nn++++=jurisdiction
and ^cc++++=and
identity ^nn++++=identity,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
abrupt ^jj+atrb+++=abrupt
incompatibility ^nn++++=incompatibility
of ^in++++=of
rail ^nn++++=rail
gauges ^nns++++=gauges
between ^in++++=between
Spain ^np++++=Spain
and ^cc++++=and
France ^np++++=France
( ^zz++++=(
Canizares ^np++++=Canizares
2000 ^cd++++=2000
) ^zz++++=)
or ^cc++++=or
the ^ati++++=the
switch ^nn++++=switch
from ^in++++=from
left ^vbd+++xvbn+=left-side
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
to ^in++++=to
right ^jj++++=right-side
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
driving ^nn++++=driving
at ^rb++++=at
national ^jj+atrb+++=national
borders ^nns++++=borders
( ^zz++++=(
sparke ^np++++=Sparke
2000 ^cd++++=2000
) ^zz++++=).
. ^zz++++=EXTRAWORD
