Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
accept ^vb+vprv+++=accept
that ^tht+vcmp+++=that
objects ^nns++++=objects
have ^vb+hv+vrb++=have
agency ^nn++++=agency
by ^in++++=by
being ^xvbg+++xvbg+=being
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
generate ^nn+nom+++=generate
interpretants ^nns+nom+++=interpretants,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
part ^nn++++=part
of ^in++++=of
this ^dt+dem+++=this
agency ^nn++++=agency
is ^vbz+bez+vrb++=is
itself ^ppl++++=itself
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Silverstein ^np+++??+=Silverstein
( ^zz++++=(1976)
1976 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
defined ^vbn+vprv++xvbn+=defined
a ^at++++=a
category ^nn++++=category
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
behavior ^nn++++=behavior
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
metapragmatics ^nns++++=metapragmatics,
, ^zz++++=EXTRAWORD
whereby ^cs+sub+++=whereby
people ^nns++++=people
characterize ^vb++++=characterize
or ^cc++++=or
comment ^nn+nom+++=comment
on ^in++++=on
the ^ati++++=the
indexical ^jj+atrb+++=indexical
functions ^nns+nom+++=functions
of ^in++++=of
language ^nn+nom+++=language
( ^zz++++=(for
for ^in++++=EXTRAWORD
example ^nn++++=example,
, ^zz++++=EXTRAWORD
by ^in++++=by
praising ^xvbg+++xvbg+=praising
someone ^pn++++=someone's
's ^vbz+bez+vrb++0=EXTRAWORD
eloquence ^nn+nom+++=eloquence
or ^cc++++=or
mocking ^jj+++xvbg+=mocking
their ^pp$+pp3+++=their
accent ^nn++++=accent).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
concept ^nn++++=concept
can ^md+pos+++=can
be ^vb+be+aux++=be
extended ^vpsv++agls+xvbnx+=extended
to ^to++++=to
include ^vbi++++=include
language ^nn+nom+++=language
that ^tht+rel+obj++=that
comments ^nns+nom+++=comments
on ^in++++=on
the ^ati++++=the
indexical ^jj+atrb+++=indexical
function ^nn+nom+++=function
of ^in++++=of
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
appropriateness ^nns+nom+++=appropriateness
of ^in++++=of
a ^at++++=a
taxi ^nn++++=taxi
driver ^nn++++=driver's
's ^$++++=EXTRAWORD
attire ^nn++++=attire
( ^zz++++=(
Agha ^np++++=Agha
2007 ^cd++++=2007
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
254 ^cd++++=254;
; ^zz++++=EXTRAWORD
Silverstein ^np+++??+=Silverstein
1993 ^cd+date+++=1993
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
36 ^cd++++=36).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Semiotic ^np+++??+=Semiotic
anthropologists ^nns+nom+++=anthropologists
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
these ^dt+dem+++=these
insights ^nns++++=insights
to ^to++++=to
apply ^vbi++++=apply
Peirce ^np++++=Peirce's
's ^$++++=EXTRAWORD
semiotic ^jj++++=semiotic
to ^in++++=to
other ^ap++++=other
examples ^nns++++=examples
of ^in++++=of
material ^nn++++=material
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
how ^wrb+who+whcl++=how
language ^nn+nom+++=language
establishes ^vbz+vprv+++=establishes
objects ^nns++++=objects
semiotic ^jj+atrb+++=semiotic
function ^nn+nom+++=function
in ^in++++=in
such ^abl++++=such
varied ^jj+atrb++xvbn+=varied
cases ^nns++++=cases
as ^in++++=as
the ^ati++++=the
qualia ^nn+++??+=qualia
of ^in++++=of
porcelain ^nn++++=porcelain
( ^zz++++=(
Gal ^np++++=Gal
2017 ^cd++++=2017
) ^zz++++=)
or ^cc++++=or
prestige ^nn++++=prestige
comestibles ^nns+++??+=comestibles
such ^abl++++=such
as ^ql++++=as
wine ^nn++++=wine
( ^zz++++=(
Silverstein ^np++++=Silverstein
2013 ^cd++++=2013
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
materiality ^nn+nom+++=materiality
of ^in++++=of
a ^at++++=a
house ^nn++++=house
and ^cc++++=and
of ^in++++=of
cloth ^nn++++=cloth
( ^zz++++=(
Keane ^np++++=Keane
2003 ^cd++++=2003
, ^zz++++=,
2005 ^cd++++=2005
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
different ^jj+atrb+++=different
objects ^nns++++=objects
as ^ql++++=as
monetary ^jj+atrb+++=monetary
exchange ^nn++++=exchange
media ^nns++++=media
( ^zz++++=(
agha ^np++++=Agha
2017 ^cd++++=2017
, ^zz++++=,
keane ^np++++=Keane
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
