Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
comes ^vbz++++=comes
to ^in++++=to
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
anthropology ^nn++++=anthropology
and ^cc++++=and
allied ^xvbn+++xvbn+=allied
disciplines ^nns++++=disciplines
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
generally ^rb+down+++=generally
idle ^jj++++=idle.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
puzzling ^vbg+++xvbgx+=puzzling.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=do
ethnographically ^vb+++??+=ethnographically
minded ^vbd+++xvbn+=minded
researchers ^nns+++??+=researchers
continue ^vb++++=continue
to ^to++++=to
give ^vbi++++=give
short ^jj+atrb+++=short
shrift ^nn+++??+=shrift
to ^in++++=to
tobacco ^nn++++=tobacco
relative ^nn++++=relative
to ^in++++=to
other ^ap++++=other
health ^nn++++=health
and ^cc++++=and
environmental ^jj+atrb+++=environmental
problems ^nns++++=problems?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
the ^ati++++=the
ostensible ^nn+++??+=ostensible
misalignment ^nn+++??+=misalignment
between ^in++++=between
( ^zz++++=(
a ^at++++=a
) ^zz++++=)
the ^ati++++=the
cigarette ^nn++++=cigarette
smoker ^nn++++=smoker,
, ^zz++++=EXTRAWORD
as ^in++++=as
depicted ^nn++++=depicted
by ^in++++=by
Big ^jj+atrb+++=Big
Tobacco ^nn++++=Tobacco
and ^cc++++=and
many ^ap++++=many
in ^in++++=in
public ^jj+atrb+++=public
health ^nn++++=health
as ^in++++=as
a ^at++++=a
free ^jj++++=free-minded,
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
rational ^jj+atrb+++=rational
decision ^nn++++=decision
maker ^nn++++=maker,
, ^zz++++=EXTRAWORD
forewarned ^nn+++??+=forewarned
of ^in++++=of
tobacco ^nn++++=tobacco's
's ^$++++=EXTRAWORD
risks ^nns++++=risks
and ^cc++++=and
( ^zz++++=(
b ^zz++++=b
) ^zz++++=)
the ^ati++++=the
genre ^nn++++=genre
of ^in++++=of
the ^ati++++=the
suffering ^jj+atrb++xvbg+=suffering
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
a ^at++++=a
scholarly ^jj+atrb+++=scholarly
trope ^nn+++??+=trope
which ^whp+rel+obj++=which
ethnographers ^nns+++??+=ethnographers
have ^vb+hv+aux++=have
often ^rb++splt++=often
used ^md"++pmd"++=used
to ^to++++=to
illuminate ^vb++++=illuminate
the ^ati++++=the
victims ^nns++++=victims
of ^in++++=of
infectious ^nns+++??+=infectious
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
extreme ^nn++++=extreme
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
drug ^nn++++=drug
addictions ^vbz+++??+=addictions?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
that ^cs+sub+++=that
anthropologists ^vbz++++=anthropologists
have ^vb+hv+aux++=have
allowed ^vprf+++xvbnx+=allowed
themselves ^ppls+pp3+++=themselves
to ^to++++=to
become ^vbi++++=become
ever ^rb++++=ever
more ^rbr++++=more
blinkered ^nn+++??+=blinkered
to ^in++++=to
the ^ati++++=the
accelerating ^jj+atrb++xvbg+=accelerating
human ^jj+atrb+++=human
annihilation ^nn++++=annihilation
wrought ^vwbn+++xvbn+=wrought
by ^in++++=by
the ^ati++++=the
tobacco ^nn++++=tobacco
industry ^nn++++=industry
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
themselves ^ppls+pp3+++=themselves
encounter ^nn++++=encounter
tobacco ^nn++++=tobacco
increasingly ^rb++++=increasingly
less ^rbr++++=less
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
residential ^jj++++=residential
and ^cc+phrs+++=and
occupational ^jj++++=occupational
enclaves ^vbz+++??+=enclaves?
? ^zz++++=EXTRAWORD
Whatever ^wdt+who+++=Whatever
the ^ati++++=the
impediments ^nns+++??+=impediments
may ^md+pos+++=may
be ^vb+be+vrb++=be
to ^in++++=to
adequate ^jj+atrb+++=adequate
scholarly ^jj+atrb+++=scholarly
coverage ^nn++++=coverage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
modest ^jj+atrb+++=modest
number ^nn++++=number
of ^in++++=of
publications ^nns++++=publications
pertaining ^vwbg+++xvbg+=pertaining
to ^in++++=to
tobacco ^nn++++=tobacco
produced ^vbd+++xvbn+=produced
recently ^rb+tm+++=recently
by ^in++++=by
anthropologists ^nns++++=anthropologists
and ^cc++++=and
scholars ^nns++++=scholars
in ^in++++=in
allied ^xvbn+++xvbn+=allied
disciplines ^nns++++=disciplines
deserves ^vbz++++=deserves
our ^pp$+pp1+++=our
attention ^nn++++=attention
and ^cc++++=and
merits ^nns++++=merits
our ^pp$+pp1+++=our
renewed ^jj+atrb+++=renewed
review ^nn++++=review.
. ^zz++++=EXTRAWORD
