Hybridization ^np+nom++??+=Hybridization
in ^in++++=in
the ^ati++++=the
baboon ^nn+++??+=baboon
colony ^nn++++=colony
studied ^vwbn+++xvbn+=studied
by ^in++++=by
Ackermann ^np+++??+=Ackermann
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2006
2006 ^cd++++=EXTRAWORD
, ^zz++++=,
2014 ^cd++++=2014)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^ap++++=a
few ^ap"++++=few
generations ^nns+nom+++=generations
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
transgressive ^jj++++=transgressive
or ^cc+phrs+++=or
anomalous ^jj++++=anomalous
morphologies ^vbz+++??+=morphologies
characterized ^vbd+++xvbn+=characterized
as ^ql++++=as
the ^ati++++=the
products ^nns++++=products
of ^in++++=of
hybridization ^nn+nom+++=hybridization
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
occur ^vbi++++=occur
in ^in++++=in
the ^ati++++=the
F1 ^np+++??+=F1
generation ^nn+nom+++=generation
or ^cc++++=or
in ^in++++=in
generations ^nns+nom+++=generations
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
interbreeding ^jj+atrb++xvbg+=interbreeding
event ^nn++++=event
( ^zz++++=(
Prentis ^np++++=Prentis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
likely ^jj++++=likely
contributes ^vbz++++=contributes
to ^in++++=to
our ^pp$+pp1+++=our
lack ^nn++++=lack
of ^in++++=of
such ^abl++++=such
a ^at++++=a
signal ^nn++++=signal
in ^in++++=in
the ^ati++++=the
current ^jj+atrb+++=current
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contains ^vbz++++=contains
fewer ^ap++++=fewer
early ^jj+atrb+++=early
generation ^nn+nom+++=generation
hybrids ^nns++++=hybrids
and ^cc++++=and
only ^rb+down+++=only
one ^cd1++++=one
F1 ^np+++??+=F1
individual ^nn+nom+++=individual.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
subtle ^jj+atrb+++=subtle
manifestations ^nns+nom+++=manifestations
of ^in++++=of
expected ^jj+atrb++xvbn+=expected
hybrid ^nn++++=hybrid
morphology ^nn++++=morphology,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
some ^dti++++=some
individuals ^nns+nom+++=individuals
of ^in++++=of
transgressive ^jj+atrb+++=transgressive
size ^nn++++=size/shape
and ^cc++++=and
greater ^jjr+atrb+++=greater
variation ^nn+nom+++=variation
within ^in++++=within
admixed ^jj+atrb++xvbn+=admixed
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
documented ^vpsv++agls+xvbnx+=documented
in ^in++++=in
naturally ^rb++++=naturally
hybridizing ^jj+atrb++xvbg+=hybridizing
populations ^nns+nom+++=populations
of ^in++++=of
marmosets ^nns+++??+=marmosets
and ^cc++++=and
howler ^jjr+atrb+++=howler
monkeys ^nns++++=monkeys,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
far ^rb+pl+++=far
fewer ^ap++++=fewer
individuals ^nns+nom+++=individuals
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
early ^jj+atrb+++=early
generation ^nn+nom+++=generation
hybrids ^nns++++=hybrids
( ^zz++++=(
Kelaita ^np++++=Kelaita
and ^cc++++=and
Cort ^np+++??+=Cort
s ^zz++++=s-Ortiz,
- ^zz++++=EXTRAWORD
ortiz ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
; ^zz++++=;
Fuzessy ^np+++??+=Fuzessy
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
admixture ^nn++++=admixture
proportions ^nns+nom+++=proportions
sampled ^vbd+++xvbn+=sampled
here ^rn+pl+++=here
may ^md+pos+++=may
not ^xnot++not++=not
completely ^rb+amp+++=completely
explain ^vb+vpub+++=explain
the ^ati++++=the
more ^rbr++++=more
linear ^jj+atrb+++=linear
relationship ^nn+nom+++=relationship
between ^in++++=between
admixture ^nn++++=admixture
and ^cc++++=and
pelvic ^jj+atrb+++=pelvic
morphology ^nn++++=morphology
in ^in++++=in
our ^pp$+pp1+++=our
results ^nns++++=results.
. ^zz++++=EXTRAWORD
