Chronicling ^np+nom++??+=Chronicling
a ^at++++=a
world ^nn++++=world
where ^wrb+who+++=where
all ^rb++++=all
manner ^nn++++=manner
of ^in++++=of
beings ^nns++++=beings
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
merely ^rb+down+++=merely
humans ^vb++++=humans)
) ^zz++++=EXTRAWORD
articulate ^jj++++=articulate
with ^in++++=with
their ^pp$+pp3+++=their
own ^ap++++=own
energy ^nn++++=energy
and ^cc++++=and
force ^nn++++=force
( ^zz++++=(
Humphrey ^np++++=Humphrey
& ^zz++++=&
Onon ^np+++??+=Onon
1996 ^cd+date+++=1996
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
takes ^vbz++++=takes
some ^dti++++=some
deftness ^nns+nom+++=deftness
when ^wrb+who+++=when
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
shamans ^nns+nom+++=shamans
feeds ^vbz++++=feeds
so ^ql++++=so
directly ^rb++++=directly
on ^in++++=on
worldviews ^nns+++??+=worldviews
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
51 ^cd++++=51).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Shamanic ^np+++??+=Shamanic
action ^nn++++=action,
, ^zz++++=EXTRAWORD
in ^rb++++=in
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
change ^vb++++=change
quite ^rb++++=quite
fast ^rb++++=fast.
. ^zz++++=EXTRAWORD
Gordillo ^np+++??+=Gordillo
( ^zz++++=(2003
2003 ^cd++++=EXTRAWORD
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
109 ^cd++++=109)
) ^zz++++=EXTRAWORD
offers ^vbz++++=offers
vivid ^jj+atrb+++=vivid
examples ^nns++++=examples
of ^in++++=of
how ^wrb+who+++=how
indigenous ^jj+atrb+++=indigenous
Toba ^np+++??+=Toba
people ^nns++++=people
of ^in++++=of
the ^ati++++=the
Argentine ^np+++??+=Argentine
North ^np+pl+++=North
promoted ^vwbn+++xvbn+=promoted
charismatic ^jj+atrb+++=charismatic
shamans ^nns+nom+++=shamans
as ^ql++++=as
figures ^nns++++=figures
in ^in++++=in
opposition ^nn+nom+++=opposition
to ^to++++=to
repeated ^vbi++++=repeated
legacies ^nns+nom+++=legacies
of ^in++++=of
military ^jj+atrb+++=military
defeat ^nn++++=defeat,
, ^zz++++=EXTRAWORD
land ^nn++++=land
grabs ^nns+++??+=grabs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
debt ^nn++++=debt
peonage ^nn+nom+++=peonage.
. ^zz++++=EXTRAWORD
Echoing ^np+++??+=Echoing
earlier ^jjr+atrb+++=earlier
work ^nn++++=work
by ^in++++=by
Taussig ^np+++??+=Taussig,
, ^zz++++=EXTRAWORD
Gordillo ^np+++??+=Gordillo
( ^zz++++=(2003)
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
writes ^vbz+vprv+++=writes
that ^tht+vcmp+++=that
shamans ^nns+nom+++=shamans
and ^cc++++=and
ordinary ^jj+atrb+++=ordinary
people ^nns++++=people
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
openly ^rb++++=openly
and ^cc+phrs+++=and
aggressively ^rb+cnj+++=aggressively,
, ^zz++++=EXTRAWORD
the ^ati++++=the
negative ^jj+atrb+++=negative
imagery ^nn+nom+++=imagery
of ^in++++=of
witchcraft ^nn++++=witchcraft
preached ^vwbn+++xvbn+=preached
by ^in++++=by
the ^ati++++=the
missionaries ^nns++++=missionaries
against ^in++++=against
the ^ati++++=the
missionaries ^nns++++=missionaries
themselves ^ppls+pp3+++=themselves
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
116 ^cd++++=116).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
