In ^in++++=In
what ^wdt+who+++=what
follows ^vbz+vprv+++=follows,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
up ^rb+phrv+++=up
four ^cd++++=four
main ^jjb+atrb+++=main
topics ^nns++++=topics.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
outline ^nn++++=outline
critical ^jj+atrb+++=critical
approaches ^nns++++=approaches
that ^tht+rel+subj++=that
examine ^vb++++=examine
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
as ^in++++=as
a ^at++++=a
story ^nn++++=story
of ^in++++=of
mastery ^nn++++=mastery
and ^cc++++=and
control ^nn++++=control
that ^tht+rel+obj++=that
erases ^nns+++??+=erases
or ^cc++++=or
overemphasizes ^nns+++??+=overemphasizes
the ^ati++++=the
responsibility ^nn++++=responsibility
of ^in++++=of
some ^dti++++=some
humans ^nns++++=humans
( ^zz++++=(white,
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
male ^jj++++=male,
, ^zz++++=EXTRAWORD
Northern ^jj++++=Northern)
) ^zz++++=EXTRAWORD
for ^in++++=for
global ^jj+atrb+++=global
environmental ^jj+atrb+++=environmental
destruction ^nn++++=destruction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
describe ^vb++++=describe
investigations ^nns++++=investigations
of ^in++++=of
the ^ati++++=the
political ^jj+atrb+++=political
and ^cc+phrs+++=and
technical ^jj+atrb+++=technical
projects ^nns++++=projects
that ^tht+rel+obj++=that
may ^md+pos+++=may
be ^vb+be+aux++=be
inspired ^vpsv++by+xvbnx+=inspired
by ^in++++=by
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
concept ^nn++++=concept.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
describe ^vb++++=describe
how ^wrb+who+++=how
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
has ^vbz+hvz+aux++=has
inspired ^vprf+++xvbnx+=inspired
new ^np++++=new
thinking ^vwbg+++xvbg+=thinking
on ^in++++=on
secular ^jj++++=secular/nonsecular
and ^cc++++=and
nature ^nn++++=nature/culture
distinctions ^nns++++=distinctions,
, ^zz++++=EXTRAWORD
on ^in++++=on
more ^ql++++=more-than-human
- ^zz++++=EXTRAWORD
than ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
relations ^nns++++=relations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
deep ^jj+atrb+++=deep
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
describe ^vb++++=describe
how ^wrb+who+++=how
anthropologists ^nns++++=anthropologists
have ^vb+hv+aux++=have
combined ^vprf+++xvbnx+=combined
their ^pp$+pp3+++=their
capacity ^nn++++=capacity
to ^to+ncmp+++=to
attend ^vbi++++=attend
to ^in++++=to
the ^ati++++=the
scales ^nns++++=scales
of ^in++++=of
human ^jj+atrb+++=human
experience ^nn++++=experience
with ^in++++=with
critical ^jj+atrb+++=critical
attention ^nn++++=attention
to ^in++++=to
the ^ati++++=the
spatial ^jj+atrb+++=spatial
and ^cc+phrs+++=and
temporal ^jj+atrb+++=temporal
scales ^nns++++=scales
of ^in++++=of
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
as ^in++++=as
a ^at++++=a
world ^nn++++=world-transforming
- ^zz++++=EXTRAWORD
transforming ^vbg+++xvbg+=EXTRAWORD
process ^nn++++=process,
, ^zz++++=EXTRAWORD
including ^in++++=including
by ^in++++=by
experiments ^nns++++=experiments
with ^in++++=with
natural ^jj+atrb+++=natural
history ^nn++++=history,
, ^zz++++=EXTRAWORD
environmental ^jj+atrb+++=environmental
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
historical ^jj+atrb+++=historical
ecology ^nn+++??+=ecology.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
methodological ^jj+atrb+++=methodological
and ^cc+phrs+++=and
theoretical ^jj+atrb+++=theoretical
experiments ^nns++++=experiments
expand ^vb++++=expand
the ^ati++++=the
tool ^nn++++=tool
kit ^nn++++=kit
of ^in++++=of
anthropology ^nn++++=anthropology
and ^cc++++=and
are ^vb+ber+aux++=are
bringing ^vbg+++xvbgx+=bringing
anthropologists ^nns++++=anthropologists
into ^in++++=into
uneasy ^jj+atrb+++=uneasy
collaborations ^nns+++??+=collaborations
with ^in++++=with
other ^ap++++=other
disciplines ^nns++++=disciplines.
. ^zz++++=EXTRAWORD
Fourth ^rb+cnj+++=Fourth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
describe ^vb++++=describe
recent ^jj+atrb+++=recent
Anthropocene ^np+++??+=Anthropocene
ethnographies ^nns+++??+=ethnographies
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
begun ^vprf+++xvbnx+=begun
to ^to++++=to
think ^vbi+vprv+++=think
about ^in++++=about
the ^ati++++=the
futures ^nns+++??+=futures
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
visible ^jj++++=visible
by ^in++++=by
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene,
, ^zz++++=EXTRAWORD
including ^in++++=including
visions ^nns++++=visions
of ^in++++=of
catastrophe ^nn++++=catastrophe
and ^cc++++=and
apocalypse ^nn++++=apocalypse,
, ^zz++++=EXTRAWORD
extinction ^nn++++=extinction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
decline ^nn++++=decline
of ^in++++=of
modern ^jj+atrb+++=modern
narratives ^nns++++=narratives
of ^in++++=of
development ^nn++++=development
and ^cc++++=and
improvement ^nn++++=improvement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
abandonment ^nn++++=abandonment
of ^in++++=of
the ^ati++++=the
vision ^nn++++=vision
of ^in++++=of
autonomous ^jj++++=autonomous
and ^cc++++=and
bounded ^vpsv++agls+xvbn+=bounded
humans ^nns++++=humans.
. ^zz++++=EXTRAWORD
