Structurally ^rb+cnj+++=Structurally,
, ^zz++++=EXTRAWORD
war ^nn++++=war
and ^cc++++=and
militarism ^nn++++=militarism
situate ^jj+++??+=situate
wound ^vwbn+++xvbn+=wound
culture ^nn++++=culture
at ^in++++=at
the ^ati++++=the
nexus ^nns+++??+=nexus
of ^in++++=of
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
capitalism ^nn++++=capitalism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
formations ^nns++++=formations
of ^in++++=of
violence ^nn++++=violence
( ^zz++++=(
Chua ^np++++=Chua
2018 ^cd++++=2018
, ^zz++++=,
Linker ^np+++??+=Linker
2011 ^cd++++=2011
, ^zz++++=,
Macleish ^np+++??+=MacLeish
2013 ^cd++++=2013
, ^zz++++=,
Messinger ^np+++??+=Messinger
2009 ^cd++++=2009
, ^zz++++=,
Serlin ^np+++??+=Serlin
2004 ^cd++++=2004
, ^zz++++=,
Terry ^np++++=Terry
2017 ^cd++++=2017
, ^zz++++=,
Webb ^np++++=Webb
2021 ^cd++++=2021
, ^zz++++=,
Wool ^nn++++=Wool
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
Wound ^jj+atrb++xvbn+=Wound
culture ^nn++++=culture
can ^md+pos+++=can
animate ^vb+++??+=animate
the ^ati++++=the
fleshy ^jj+atrb+++=fleshy
mytho ^nn+++??+=mytho-poetics
- ^zz++++=EXTRAWORD
poetics ^nns+++??+=EXTRAWORD
of ^in++++=of
war ^nn++++=war
and ^cc++++=and
conflict ^nn++++=conflict
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
always ^rb++++=always
both ^abx++++=both
material ^nn++++=material
and ^cc++++=and
storied ^nn+++??+=storied
( ^zz++++=(
Abu ^np++++=Abu-Sittah
- ^zz++++=EXTRAWORD
sittah ^nn+++??+=EXTRAWORD
2019 ^cd++++=2019
, ^zz++++=,
A ^at++++=A
iks ^nns+++??+=iks
z ^zz++++=z
2019 ^cd++++=2019
, ^zz++++=,
Allen ^np++++=Allen
2009 ^cd++++=2009
, ^zz++++=,
Axel ^np+++??+=Axel
2001 ^cd++++=2001
, ^zz++++=,
Fabricant ^np+++??+=Fabricant
& ^zz++++=&
Postero ^np+++??+=Postero
2014 ^cd++++=2014
, ^zz++++=,
Feldman ^np++++=Feldman
2008 ^cd++++=2008
, ^zz++++=,
Mookherjee ^np+++??+=Mookherjee
2015 ^cd++++=2015
, ^zz++++=,
Nelson ^np++++=Nelson
1999 ^cd+date+++=1999
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
remnants ^nns++++=remnants
of ^in++++=of
conflict ^nn++++=conflict
and ^cc++++=and
deadly ^rb++++=deadly
materiel ^nn+++??+=materiel,
, ^zz++++=EXTRAWORD
from ^in++++=from
undetonated ^nn+++??+=undetonated
land ^nn++++=land
mines ^nns++++=mines
to ^to++++=to
discarded ^vbi++++=discarded
cluster ^nn++++=cluster
bombs ^nns++++=bombs,
, ^zz++++=EXTRAWORD
create ^vb++++=create
spaces ^nns++++=spaces
in ^in++++=in
which ^whp+rel+pied++=which
bodies ^nns++++=bodies
must ^md+nec+++=must
negotiate ^vb++++=negotiate
wounding ^jj+atrb+++=wounding
ecologies ^nns+++??+=ecologies
( ^zz++++=(
Kim ^np++++=Kim
2022 ^cd++++=2022
, ^zz++++=,
Zani ^np+++??+=Zani
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wound ^xvbn+++xvbn+=wound
may ^md+pos+++=may
not ^xnot++not++=not
yet ^rb++++=yet
have ^vb+hv+aux++=have
occurred ^vprf+++xvbnx+=occurred
to ^in++++=to
a ^at++++=a
given ^jj+atrb++xvbn+=given
person ^nn++++=person,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
potentiality ^nn++++=potentiality
shapes ^nns++++=shapes
life ^nn++++=life
politics ^nn++++=politics
through ^in++++=through
body ^nn++++=body
landscape ^nn++++=landscape
connections ^nns++++=connections.
. ^zz++++=EXTRAWORD
