Density ^nn++++=Density
maps ^nns++++=maps
with ^in++++=with
inverse ^jj+atrb+++=inverse
distance ^nn++++=distance
weighting ^nn+++??+=weighting
( ^zz++++=(IDW)
idw ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
interpolation ^nn++++=interpolation
type ^nn++++=type
were ^vbd+bed+vrb++=were
setup ^nn+++??+=setup
with ^in++++=with
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
cumulative ^jj+atrb+++=cumulative
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
deaths ^nns++++=deaths
per ^in++++=per
1,000,000 ^cd++++=1,000,000
habitants ^nns+++??+=habitants,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
actual ^jj+atrb+++=actual
and ^cc+phrs+++=and
modelled ^jj+++xvbn+=modelled
Boltzmann ^np+++??+=Boltzmann
data ^nns++++=data.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
cartographic ^nn+++??+=cartographic
base ^nn++++=base
of ^in++++=of
Brazil ^np++++=Brazil
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
Ibge ^np+++??+=IBGE
electronic ^jj+atrb+++=electronic
database ^nn+++??+=database
and ^cc++++=and
reported ^vbn+vpub++xvbn+=reported
data ^nns++++=data
on ^in++++=on
Covid ^np+++??+=COVID-19.11
- ^zz++++=EXTRAWORD
19.11 ^cd++++=EXTRAWORD
Terra ^&fw++++=Terra
Datum ^np+++??+=Datum
model ^nn++++=model
Sirgas ^np+++??+=SIRGAS
2000 ^cd++++=2000
and ^cc++++=and
the ^ati++++=the
cartographic ^nn+++??+=cartographic
projection ^nn++++=projection
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
Mercator ^np+++??+=Mercator
Transversal ^nn++++=Transversal
Universal ^nn++++=Universal
system ^nn++++=system
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
The ^ati++++=The
georeferenced ^nn+++??+=georeferenced
data ^nns++++=data
were ^vbd+bed+aux++=were
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
Quantum ^nn++++=Quantum
Gis ^np+++??+=GIS
( ^zz++++=(Open
open ^jj+atrb+++=EXTRAWORD
Source ^nn++++=Source
Geospatial ^np+++??+=Geospatial
Foundation ^nn++++=Foundation,
, ^zz++++=EXTRAWORD
osgeo ^np++++=OSGeo,
, ^zz++++=EXTRAWORD
chi ^np++++=CHI,
, ^zz++++=EXTRAWORD
usa ^np++++=USA,
, ^zz++++=EXTRAWORD
version ^nn++++=Version
3.10.5 ^cd++++=3.10.5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
