Graphic ^jj+atrb+++=Graphic
organizers ^nns++++=organizers
are ^vb+ber+aux++=are
used ^vpsv++++=used
to ^to++++=to
help ^vb++++=help
the ^ati++++=the
readers ^nns++++=readers
comprehend ^nn+++??+=comprehend
content ^nn++++=content
of ^in++++=of
a ^at++++=a
text ^nn++++=text
and ^cc++++=and
their ^pp$+pp3+++=their
use ^nn++++=use
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
studied ^vpsv++agls+xvbnx+=studied
scientifically ^rb++++=scientifically
for ^in++++=for
over ^in++++=over
three ^cd++++=three
decades ^nns++++=decades
( ^zz++++=(Wills
wills ^np++++=EXTRAWORD
& ^zz++++=&
Ellis ^np++++=Ellis
2008:1 ^cd++++=2008:1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
" ^zz++++="visual
visual ^jj+atrb+++=EXTRAWORD
representation ^nn++++=representation
of ^in++++=of
information ^nn++++=information
in ^in++++=in
a ^at++++=a
text ^nn++++=text"
" ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
with ^in++++=with
learners ^nns++++=learners
as ^in++++=as
an ^at++++=an
aid ^nn++++=aid
to ^to++++=to
develop ^vbi++++=develop
reading ^vbg+++xvbg+=reading
comprehension ^nn++++=comprehension
( ^zz++++=(Jiang
jiang ^nn++++=EXTRAWORD
& ^zz++++=&
grabe ^np++++=Grabe
2007:34 ^cd++++=2007:34).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
