Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
data ^nns++++=data
for ^in++++=for
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
City ^nn++++=City
to ^in++++=to
that ^dt+dem+++=that
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
different ^jj+atrb+++=different
trends ^nns++++=trends
in ^in++++=in
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
implying ^vbg+++xvbg+=implying
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
have ^vbi++vrb++=have
localized ^jj+atrb++??+=localized
data ^nns++++=data
to ^to++++=to
define ^vbi++++=define
local ^jj+atrb+++=local
targets ^nns++++=targets
for ^in++++=for
the ^ati++++=the
sdi ^np++++=SDI.
. ^zz++++=EXTRAWORD
