Having ^vbg+hvg++xvbg+=Having
a ^at++++=a
greater ^jjr+atrb+++=greater
number ^nn++++=number
of ^in++++=of
providers ^nns+++??+=providers
who ^whp+rel+obj++=who
publicly ^rb++++=publicly
position ^nn++++=position
themselves ^ppls+pp3+++=themselves
as ^in++++=as
willing ^jj++++=willing
to ^to+jcmp+++=to
offer ^vbi++++=offer
the ^ati++++=the
abortion ^nn++++=abortion
service ^nn++++=service
helps ^vbz++++=helps
increase ^nn++++=increase
the ^ati++++=the
chances ^nns++++=chances
of ^in++++=of
changing ^xvbg+++xvbg+=changing
the ^ati++++=the
negative ^jj+atrb+++=negative
image ^nn++++=image
that ^tht+rel+obj++=that
these ^dt+dem+++=these
professionals ^nns++++=professionals
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
The ^ati++++=The
task ^nn++++=task
also ^rb++++=also
entails ^vbz++++=entails
getting ^vbg+++xvbg+=getting
other ^ap++++=other
professionals ^nns++++=professionals
to ^to++++=to
join ^vbi++++=join
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Establishing ^vbg+++xvbg+=Establishing
a ^at++++=a
face ^nn++++=face
before ^cs+sub+++=before
society ^nn++++=society
is ^vbz+bez+vrb++=is
a ^at++++=a
way ^nn++++=way
to ^in++++=to
work ^nn++++=work
for ^in++++=for
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
creating ^vbg+++xvbg+=creating
conditions ^nns++++=conditions
of ^in++++=of
improved ^jj+atrb++xvbn+=improved
legitimacy ^nn++++=legitimacy
that ^tht+rel+obj++=that
lead ^nn++++=lead
to ^in++++=to
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
backing ^nn++++=backing
for ^in++++=for
the ^ati++++=the
network ^nn++++=Network.
. ^zz++++=EXTRAWORD
