Introduction ^nn++++=Introduction:
: ^zz++++=EXTRAWORD
A ^at++++=A
novel ^nn++++=novel
type ^nn++++=type
of ^in++++=of
coronavirus ^nns+++??+=coronavirus,
, ^zz++++=EXTRAWORD
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible
for ^in++++=for
an ^at++++=an
unprecedented ^jj+atrb+++=unprecedented
pandemic ^nn+++??+=pandemic
with ^in++++=with
profound ^jj+atrb+++=profound
socioeconomic ^nn+++??+=socioeconomic
consequences ^nns++++=consequences.
. ^zz++++=EXTRAWORD
Owing ^in+cmpx+++=Owing
to ^in"++++=to
its ^pp$+it+++=its
recent ^jj+atrb+++=recent
discovery ^nn++++=discovery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
virus ^nn++++=virus
that ^tht+rel+subj++=that
emerged ^vprf+++xvbn+=emerged
in ^in++++=in
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
city ^nn++++=city
of ^in++++=of
Wuhan ^np+++??+=Wuhan
in ^in++++=in
December ^nr++++=December
2019 ^cd++++=2019
still ^rb++++=still
represents ^vbz++++=represents
a ^at++++=a
great ^jj++++=great
unknown ^jj++++=unknown
to ^in++++=to
researchers ^nns+++??+=researchers.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
the ^ati++++=the
spatiotemporal ^nn+++??+=spatiotemporal
associations ^nns++++=associations
of ^in++++=of
the ^ati++++=the
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
both ^abx++++=both
rapid ^jj++++=rapid
and ^cc++++=and
rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn++++=EXTRAWORD
tests ^nns++++=tests
in ^in++++=in
minas ^np++++=Minas
gerais ^np++++=Gerais.
. ^zz++++=EXTRAWORD
