Large ^jj+atrb+++=Large
droplets ^nns++++=droplets
( ^zz++++=(>
> ^zz++++=EXTRAWORD
10 ^cd++++=10
microns ^nns+++??+=microns):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Airborne ^jj+atrb+++=Airborne
transmission ^nn++++=transmission
through ^in++++=through
large ^jj+atrb+++=large
droplets ^nns++++=droplets
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
released ^vpsv++agls+xvbnx+=released
and ^cc++++=and
fall ^nn++++=fall
to ^in++++=to
surfaces ^nns++++=surfaces
no ^at++++=no
further ^nn++++=further
than ^in++++=than
1 ^zz++++=1-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
meters ^nns++++=meters
from ^in++++=from
the ^ati++++=the
infected ^jj+atrb++xvbn+=infected
person ^nn++++=person.
. ^zz++++=EXTRAWORD
droplets ^np++++=Droplets
are ^vb+ber+aux++=are
formed ^vprf+++xvbn+=formed
from ^in++++=from
coughing ^nn++++=coughing
and ^cc++++=and
sneezing ^nn++++=sneezing.
. ^zz++++=EXTRAWORD
