Not ^xnot++not++=Not
only ^rb+down+++=only
the ^ati++++=the
time ^nn++++=time
evolution ^nn++++=evolution
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different
from ^in++++=from
that ^dt+dem+++=that
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2:
: ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj+atrb+++=total
num ^nn+++??+=num
ber ^nn+++??+=ber
of ^in++++=of
deaths ^nns++++=deaths
displayed ^vbd+++xvbn+=displayed
for ^in++++=for
Figure ^nn++++=Figure
2 ^zz++++=2
is ^vbz+bez+vrb++=is
1,825 ^cd++++=1,825,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1
( ^zz++++=(based
based ^xvbn+++xvbn+=EXTRAWORD
on ^in++++=on
death ^nn++++=death
certifi ^nn++++=certifi
cates ^nns++++=cates)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stands ^vbz++++=stands
for ^in+ppvb+++=for
3,293 ^cd++++=3,293.
. ^zz++++=EXTRAWORD
