Incubation ^nn++++=Incubation
In ^in++++=In
the ^ati++++=the
laboratory ^nn++++=laboratory,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leaf ^nn++++=leaf
samples ^nns++++=samples
were ^vbd+bed+vrb++=were
coarsely ^jj+++??+=coarsely
fragmented ^jj+++xvbn+=fragmented
individually ^rb++++=individually
using ^jj+atrb++xvbg+=using
sterile ^jj+atrb+++=sterile
scissors ^nns++++=scissors
to ^to++++=to
fit ^vbi++++=fit
loosely ^rb++++=loosely
in ^in++++=in
sterile ^jj+atrb+++=sterile
Petri ^np+++??+=Petri
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
Sterile ^jj+atrb+++=Sterile
water ^nn++++=water
was ^vbd+bedz+aux++=was
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
Petri ^np+++??+=Petri
dishes ^nns++++=dishes
to ^to++++=to
cover ^vbi++++=cover
sufficiently ^rb++++=sufficiently
the ^ati++++=the
leaf ^nn++++=leaf
fragments ^nns++++=fragments
( ^zz++++=(Ingold
ingold ^nn+++??+=EXTRAWORD
1975 ^cd+date+++=1975).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
172 ^cd++++=172
Petri ^np+++??+=Petri
dishes ^nns++++=dishes
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
incubated ^vpsv++agls+xvbnx+=incubated
at ^rb++++=at
room ^nn++++=room
temperature ^nn++++=temperature
( ^zz++++=(around
around ^rp++++=EXTRAWORD
20 ^cd++++=20
oc ^nn+++??+=oC)
) ^zz++++=EXTRAWORD
for ^in++++=for
4 ^zz++++=4
to ^to++++=to
8 ^zz++++=8
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Whenever ^wrb+who+++=Whenever
the ^ati++++=the
proliferation ^nn++++=proliferation
of ^in++++=of
bacteria ^nns++++=bacteria
was ^vbd+bedz+vrb++=was
perceptible ^jj+pred+++=perceptible
or ^cc++++=or
the ^ati++++=the
leaf ^nn++++=leaf
fragments ^nns++++=fragments
emerged ^vbd+++xvbn+=emerged,
, ^zz++++=EXTRAWORD
aliquots ^nns++++=aliquots
of ^in++++=of
sterile ^jj+atrb+++=sterile
water ^nn++++=water
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
Petri ^np+++??+=Petri
dishes ^nns++++=dishes
or ^cc++++=or
the ^ati++++=the
entire ^jjb+atrb+++=entire
water ^nn++++=water
was ^vbd+bedz+aux++=was
replaced ^vpsv++agls+xvbnx+=replaced
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
keep ^vbi++++=keep
the ^ati++++=the
substrates ^nns++++=substrates
as ^ql++++=as
clean ^vb++++=clean
as ^ql++++=as
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
