Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
no ^at++++=no
consensus ^nn++++=consensus
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reached ^vpsv++agls+xvbnx+=reached
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
manage ^vbi++++=manage
Ms ^nn++++=MS
and ^cc++++=and
Nmosd ^np+++??+=NMOSD
patients ^nns++++=patients
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Brazilian ^jj+atrb+++=Brazilian
Committee ^nn++++=Committee
for ^in++++=for
Treatment ^nn++++=Treatment
and ^cc++++=and
Research ^nn++++=Research
in ^in++++=in
Multiple ^jj+atrb+++=Multiple
Sclerosis ^np+++??+=Sclerosis
( ^zz++++=(BCTRIMS),
bctrims ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
Committee ^nn++++=Committee
for ^in++++=for
Treatment ^nn++++=Treatment
and ^cc++++=and
Research ^nn++++=Research
in ^in++++=in
Multiple ^jj+atrb+++=Multiple
Sclerosis ^np+++??+=Sclerosis
( ^zz++++=(LACTRIMS),
lactrims ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
European ^jj+atrb+++=European
Committee ^nn++++=Committee
for ^in++++=for
Treatment ^nn++++=Treatment
and ^cc++++=and
Research ^nn++++=Research
in ^in++++=in
Multiple ^jj+atrb+++=Multiple
Sclerosis ^np+++??+=Sclerosis
( ^zz++++=(ECTRIMS)
ectrims ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
issued ^vprf+++xvbnx+=issued
expert ^nn++++=expert
recommendations ^nns++++=recommendations
on ^in++++=on
their ^pp$+pp3+++=their
websites10,11 ^nn+++??+=websites10,11.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
next ^ap++++=next
few ^ap++++=few
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
discuss ^vb++++=discuss
management ^nn++++=management
strategies ^nns+++??+=strategies
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
demyelinating ^nn+++??+=demyelinating
disorders ^nns++++=disorders
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
adopted ^vpsv++agls+xvbnx+=adopted
at ^rb++++=at
two ^cd++++=two
large ^jj+atrb+++=large
Ms ^nn++++=MS/NMOSD
care ^nn++++=care
centers ^nns+++??+=centers
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
offer ^vb++++=offer
a ^at++++=a
practical ^nn++++=practical
approach ^vb++++=approach
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
mitigating ^vbg+++xvbg+=mitigating
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
risk ^nn++++=risk
whilst ^cs+sub+++=whilst
maintaining ^jj+atrb+++=maintaining
clinical ^jj+atrb+++=clinical
stability ^nn++++=stability
and ^cc++++=and
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
