Postoperative ^np+++??+=Postoperative
evaluation ^nn++++=evaluation
made ^vwbn+++xvbn+=made
by ^in++++=by
two ^cd++++=two
doctors ^nns++++=doctors,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
one ^cd1++++=one
contacting ^jj+++xvbg+=contacting
the ^ati++++=the
patient ^nn++++=patient
using ^vwbg+++xvbg+=using
the ^ati++++=the
Ppe ^np+++??+=PPE,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
waiting ^jj+++xvbg+=waiting
outside ^jjb++++=outside
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
uncontaminated ^nn+++??+=uncontaminated
, ^zz++++=,
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
cross ^jj+atrb+++=cross
contamination ^nn++++=contamination
in ^in++++=in
the ^ati++++=the
health ^nn++++=health
team ^nn++++=team.
. ^zz++++=EXTRAWORD
