Controls ^vbz++++=Controls:
: ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
control ^nn++++=control
experiments ^nns++++=experiments,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
insects ^nns++++=insects
was ^vbd+bedz+aux++=was
present ^vb++++=present,
, ^zz++++=EXTRAWORD
the ^ati++++=the
triatomine ^nn+++??+=triatomine
bug ^nn++++=bug
and ^cc++++=and
the ^ati++++=the
cockroach ^nn++++=cockroach
showed ^vbd+vprv++xvbn+=showed
similar ^jj+atrb+++=similar
behaviors ^nns++++=behaviors
to ^in++++=to
those ^dt+dem+++=those
observed ^jj++++=observed
in ^in++++=in
the ^ati++++=the
phase ^nn++++=phase
i ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
