Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
results ^nns++++=results
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
first ^od++++=first
phase ^nn++++=phase
in ^in++++=in
April ^nr++++=April,
, ^zz++++=EXTRAWORD
the ^ati++++=the
countries ^nns++++=countries
without ^in++++=without
an ^at++++=an
active ^jj+atrb+++=active
Bcg ^np+++??+=BCG
vaccine ^nn++++=vaccine
program ^nn+++??+=program
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
3.96 ^cd++++=3.96,
, ^zz++++=EXTRAWORD
9.34 ^cd++++=9.34,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2.35 ^cd++++=2.35
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn+++??+=0.001)
) ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
ratios ^nns++++=ratios
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality
and ^cc++++=and
lethality ^nn++++=lethality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
