Hematopoietic ^np+++??+=Hematopoietic
stem ^nn++++=stem
cell ^nn++++=cell
transplantation ^nn+++??+=transplantation
( ^zz++++=(HSCT)
hsct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
induction ^nn++++=induction
treatment ^nn++++=treatment
for ^in++++=for
Ms ^nn++++=MS.
. ^zz++++=EXTRAWORD
It ^np++++=It
aims ^vbz++++=aims
to ^to+vcmp+++=to
stop ^vbi++++=stop
Ms ^nn++++=MS
damage ^nn++++=damage
by ^in++++=by
cell ^nn++++=cell
depletion ^nn++++=depletion
and ^cc++++=and
then ^rn+tm+++=then
repopulate ^vb+++??+=repopulate
the ^ati++++=the
immune ^jj+atrb+++=immune
system ^nn++++=system.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
treatment ^nn++++=treatment
has ^vbz+hvz+vrb++=has
a ^at++++=a
long ^nn++++=long
sustained ^vbd+++xvbn+=sustained
effect ^nn++++=effect
on ^in++++=on
the ^ati++++=the
immune ^jj+atrb+++=immune
system ^nn++++=system.
. ^zz++++=EXTRAWORD
People ^nns++++=People
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
recently ^rb+tm+splt++=recently
received ^vprf+++xvbnx+=received
this ^dt+dem+++=this
treatment ^nn++++=treatment
should ^md+nec+++=should
extend ^vb++++=extend
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
isolation ^nn++++=isolation
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
outbreak ^nn++++=outbreak.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
eligible ^jj+pred+++=eligible
for ^in++++=for
Hsct ^np+++??+=HSCT
should ^md+nec+++=should
consult ^vb++++=consult
their ^pp$+pp3+++=their
neurologists ^nns+++??+=neurologists
and ^cc++++=and
consider ^vb+vprv+++=consider
postponing ^nn+++??+=postponing
the ^ati++++=the
procedure ^nn++++=procedure.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
2 ^zz++++=2
summarizes ^vbz++++=summarizes
considerations ^nns++++=considerations
regarding ^in++++=regarding
Dmd ^np+++??+=DMD
use ^nn++++=use
for ^in++++=for
ms ^nn++++=MS
during ^in++++=during
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
