According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Government ^nn++++=Government
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
last ^rb++++=last
update ^nn+++??+=update
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
infection ^nn++++=infection
protocol ^nn++++=protocol
for ^in++++=for
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
of ^in++++=of
July ^nr++++=July
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
reverse ^nn++++=reverse
transcription ^nn+++??+=transcription
assays ^vbz+++??+=assays
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
the ^ati++++=the
polymerase ^nn+++??+=polymerase
chain ^nn++++=chain
reaction ^nn++++=reaction
( ^zz++++=(RT-PCR)
rt ^npt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
immunological ^nn+++??+=immunological
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
include ^vb++++=include
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
diagnostic ^nn+++??+=diagnostic
criterion ^np++++=criterion.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
noteworthy ^jj+pred+++=noteworthy
that ^tht+jcmp+++=that
negative ^jj+atrb+++=negative
results ^nns++++=results
in ^in++++=in
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
are ^vb+ber+vrb++=are
not ^xnot++not++=not
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
discard ^vb++++=discard
suspicious ^jj+atrb+++=suspicious
cases ^nns++++=cases
( ^zz++++=(6).
6 ^zz++++=EXTRAWORD
). ^nn++++=EXTRAWORD
