Quantitative ^jj+atrb+++=Quantitative
assessment ^nn++++=assessment
of ^in++++=of
secondary ^jj+atrb+++=secondary
data ^nns++++=data
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
from ^in++++=from
a ^at++++=a
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
epidemiological ^nn+++??+=epidemiological
research ^nn++++=research
design ^nn++++=design,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
descriptive ^jj++++=descriptive
and ^cc+phrs+++=and
inferential ^jj+atrb++??+=inferential
statistical ^jj+atrb+++=statistical
methods ^nns++++=methods
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
statistical ^jj+atrb+++=statistical
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
through ^in++++=through
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
libraries ^nns++++=libraries
Matplotlib ^np+++??+=Matplotlib
( ^zz++++=(version
version ^nn++++=EXTRAWORD
3.2.1 ^cd++++=3.2.1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pandas ^np+++??+=Pandas
( ^zz++++=(version
version ^nn++++=EXTRAWORD
1.0.5 ^cd++++=1.0.5)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Statistics ^nn++++=Statistics
in ^in++++=in
the ^ati++++=the
Python ^np+++??+=Python
programming ^nn++++=programming
language ^nn++++=language
( ^zz++++=(version
version ^nn++++=EXTRAWORD
3.7.7 ^cd++++=3.7.7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
the ^ati++++=The
programming ^nn++++=programming
environment ^nn++++=environment
used ^vbd+++xvbn+=used
was ^vbd+bedz+vrb++=was
project ^nn++++=Project
jupyter ^np++++=Jupyter
. ^zz++++=.
