Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
The ^ati++++=The
model ^nn++++=model
data ^nns++++=data
were ^vbd+bed+vrb++=were
well ^rb++++=well-fitted,
- ^zz++++=EXTRAWORD
fitted ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
R2 ^np+++??+=R2
values ^nns++++=values
close ^in+cmpx+++=close
to ^in++++=to
0.999 ^nn+++??+=0.999.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
to ^in++++=to
May ^md+pos+++=May
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
14,817 ^cd++++=14,817
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
deaths ^nns++++=deaths
were ^vbd+bed+aux++=were
confirmed ^vpsv++agls+xvbnx+=confirmed
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Amazonas ^np+++??+=Amazonas
has ^vbz+hvz+vrb++=has
the ^ati++++=the
highest ^jjt+atrb+++=highest
rate ^nn++++=rate
of ^in++++=of
accumulated ^xvbn+++xvbn+=accumulated
cases ^nns++++=cases
per ^in++++=per
1,000,000 ^cd++++=1,000,000
inhabitants ^nns++++=inhabitants
( ^zz++++=(321.14),
321.14 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Cear ^np+++??+=Cear
( ^zz++++=(161.63).
161.63 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
estimated ^vbd+vprv++xvbn+=estimated
that ^tht+vcmp+++=that
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
Roraima ^np+++??+=Roraima,
, ^zz++++=EXTRAWORD
Amazonas ^np+++??+=Amazonas,
, ^zz++++=EXTRAWORD
Par ^&fw++++=Par
, ^zz++++=,
and ^cc+cls+++=and
Pernambuco ^np+++??+=Pernambuco
will ^md+prd+++=will
experience ^vb++++=experience
a ^at++++=a
substantial ^jj+atrb+++=substantial
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
cumulative ^jj+atrb+++=cumulative
cases ^nns++++=cases
until ^in++++=until
July ^nr++++=July
15 ^cd++++=15.
. ^zz++++=EXTRAWORD
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Santa ^&fw++++=Santa
Catarina ^np++++=Catarina
Will ^md+prd+++=will
Show ^vb+vprv+++=show
Lower ^jjr+atrb+++=lower
Rates ^nns++++=rates
Per ^in++++=per
,000,000 ^cd++++=1,000,000
Inhabitants ^nns++++=inhabitants.
 ^zz++++=EXTRAWORD
