Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
Zootaxa ^np+++??+=Zootaxa
suppression ^nn++++=suppression
and ^cc++++=and
the ^ati++++=the
academic ^jj+atrb+++=academic
engagement ^nn++++=engagement
into ^in++++=into
a ^at++++=a
bandwagon ^nn+++??+=bandwagon
sympathetic ^jj+atrb+++=sympathetic
commotion ^nn++++=commotion,
, ^zz++++=EXTRAWORD
opinions ^nns++++=opinions
in ^in++++=in
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
letters ^nns++++=letters
from ^in++++=from
societies ^nns++++=societies
and ^cc++++=and
researchers ^nns+++??+=researchers
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sbh ^np+++??+=SBH
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Sol ^nn++++=SOL
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Damme ^np+++??+=Damme
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mainly ^rb++++=mainly
from ^in++++=from
megadiverse ^nn+++??+=megadiverse
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
the ^ati++++=the
journal ^nn++++=journal
and ^cc++++=and
ask ^vb++++=ask
Clarivate ^np+++??+=Clarivate
to ^in++++=to
review ^nn++++=review
its ^pp$+it+++=its
decision ^nn++++=decision,
, ^zz++++=EXTRAWORD
two ^cd++++=two
main ^jjb+atrb+++=main
conclusions ^nns++++=conclusions
could ^md+pos+++=could
be ^vb+be+aux++=be
unearthed ^vprf+++xvbn+=unearthed:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Jif ^np+++??+=JIF
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
important ^jj++++=important
to ^to+jcmp+++=to
taxonomy ^vb+++??+=taxonomy
and ^cc++++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
taxonomy ^nn+++??+=taxonomy
is ^vbz+bez+vrb++=is
under ^in++++=under
attack ^nn++++=attack.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
seriously ^rb++++=seriously
doubt ^vb++++=doubt
both ^abx++++=both
conclusions ^nns++++=conclusions
and ^cc++++=and
invite ^vb++++=invite
the ^ati++++=the
reader ^nn++++=reader
to ^to++++=to
carefully ^rb++splt++=carefully
consider ^vbi+vprv+++=consider
these ^dt+dem+++=these
aspects ^nns++++=aspects.
. ^zz++++=EXTRAWORD
