According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
world ^nn++++=world
map ^nn++++=map,
, ^zz++++=EXTRAWORD
presented ^xvbn+++xvbn+=presented
in ^in++++=in
real ^jj+atrb+++=real
time ^nn++++=time
by ^in++++=by
the ^ati++++=the
Johns ^np++++=Johns
Hopkins ^np+++??+=Hopkins
Coronavirus ^np+++??+=Coronavirus
Resource ^nn++++=Resource
Center ^np+++??+=Center
by ^in++++=by
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
May ^md+pos+++=May
31 ^cd++++=31,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
6,194,508 ^cd++++=6,194,508
cases ^nns++++=cases
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
and ^cc++++=and
372,501 ^cd++++=372,501
deaths ^nns++++=deaths
were ^vbd+bed+aux++=were
confirmed ^vpsv++agls+xvbnx+=confirmed
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
date ^nn++++=date,
, ^zz++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
countries ^nns++++=countries
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
confirmed ^vbn+vpub+tht0+xvbn+=confirmed
cases ^nns++++=cases
were ^vbd+bed+vrb++=were
the ^ati++++=the
United ^np++++=United
States ^np++++=States
( ^zz++++=(1,790,191),
1,790,191 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
( ^zz++++=(514,849),
514,849 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Russia ^np++++=Russia
( ^zz++++=(414,878).
414,878 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
lead ^vb++++=lead
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
were ^vbd+bed+vrb++=were
the ^ati++++=the
United ^np++++=United
States ^np++++=States
( ^zz++++=(104,383),
104,383 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
Kingdom ^npl++++=Kingdom
( ^zz++++=(38,571),
38,571 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Italy ^np++++=Italy
( ^zz++++=(33,415),
33,415 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
Brazil ^np++++=Brazil
in ^in++++=in
the ^ati++++=the
fourth ^od++++=fourth
position ^nn++++=position
( ^zz++++=(29,314)
29,314 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
until ^cs+sub+++=until
that ^dt+dem+++=that
time.2 ^nn++++=time.2
