Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Ufpb ^np+++??+=UFPB,
, ^zz++++=EXTRAWORD
all ^abn++++=all
on ^in++++=on-site
- ^zz++++=EXTRAWORD
site ^nn++++=EXTRAWORD
teaching ^vwbg+++xvbg+=teaching
was ^vbd+bedz+aux++=was
suspended ^vpsv++agls+xvbnx+=suspended,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resources ^nns++++=resources
for ^in++++=for
distance ^nn++++=distance
learning ^xvbg+++xvbg+=learning
set ^vwbn+++xvbn+=set
up ^rb+phrv+++=up
as ^in++++=as
a ^at++++=a
supplementary ^jj+atrb+++=supplementary
semester ^nn+++??+=semester
to ^to++++=to
be ^vbi++vrb++=be
available ^jj+pred+++=available
as ^ql++++=as
face ^vb++++=face
to ^to++++=to
face ^vbi++++=face
classes ^nns++++=classes
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
A ^at++++=A
protocol ^nn++++=protocol
for ^in++++=for
clinical ^nn++++=clinical
care ^vb+vprv+++=care
followed ^vbd+vprv+tht0+xvbn+=followed
safety ^nn++++=safety
measures ^vbz++++=measures
recommended ^vpsv++by+xvbn+=recommended
by ^in++++=by
Brazilian ^jj+atrb+++=Brazilian
official ^jj+atrb+++=official
health ^nn++++=health
institutions ^nns++++=institutions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
adequacy ^nn++++=adequacy
of ^in++++=of
the ^ati++++=the
physical ^jj+atrb+++=physical
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
( ^zz++++=(PPE)
ppe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
acquisition ^nn++++=acquisition
for ^in++++=for
the ^ati++++=the
return ^nn++++=return
to ^in++++=to
clinical ^jj+atrb+++=clinical
activities ^nns++++=activities
are ^vb+ber+vrb++=are
currently ^rb++++=currently
under ^in++++=under
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Up ^rp++++=UP,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv+tht0+xvbg+=learning
activities ^nns++++=activities
were ^vbd+bed+aux++=were
shifted ^vpsv++agls+xvbnx+=shifted
to ^in++++=to
virtual ^jj++++=virtual
teaching ^xvbg+++xvbg+=teaching
using ^xvbg+++xvbg+=using
lecture ^vb++++=lecture
recordings ^nns++++=recordings
and ^cc++++=and
live ^jj+atrb+++=live
sections ^nns++++=sections.
. ^zz++++=EXTRAWORD
All ^abn++++=All
elective ^nn+++??+=elective
patients ^nns++++=patients
care ^nn++++=care
was ^vbd+bedz+aux++=was
postponed ^vpsv++agls+xvbnx+=postponed.
. ^zz++++=EXTRAWORD
Urgent ^jj+atrb+++=Urgent
dental ^jj+atrb+++=dental
cases ^nns++++=cases
were ^vbd+bed+aux++=were
discussed ^vpsv++agls+xvbnx+=discussed
via ^in++++=via
teledentistry ^nn+++??+=teledentistry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
physical ^jj+atrb+++=physical
layout ^nn++++=layout
of ^in++++=of
the ^ati++++=the
dental ^jj+atrb+++=dental
clinics ^nns++++=clinics
and ^cc++++=and
pre ^nn+++??+=pre-clinical
- ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=EXTRAWORD
laboratories ^nns++++=laboratories
were ^vbd+bed+aux++=were
changed ^vpsv++agls+xvbnx+=changed,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
a ^at++++=a
safe ^jj+atrb+++=safe
distance ^nn++++=distance
between ^in++++=between
students ^nns++++=students.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Gu ^np+++??+=GU,
, ^zz++++=EXTRAWORD
all ^abn++++=all
clinical ^jj++++=clinical
and ^cc++++=and
pre ^nn+++??+=pre-clinical
- ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=EXTRAWORD
activities ^nns++++=activities
were ^vbd+bed+aux++=were
cancelled ^vpsv++agls+xvbnx+=cancelled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
theoretical ^jj+atrb+++=theoretical
activities ^nns++++=activities
were ^vbd+bed+aux++=were
maintained ^vpsv++agls+xvbnx+=maintained
online ^nn+++??+=online
for ^in++++=for
all ^abn++++=all
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
clinically ^rb++++=clinically
based ^xvbn+++xvbn+=based
scenarios ^nns+++??+=scenarios
where ^wrb+who+++=where
created ^vprf+++xvbn+=created
and ^cc+phrs+++=and
delivered ^vprf+++xvbn+=delivered
in ^in++++=in
the ^ati++++=the
format ^nn++++=format
of ^in++++=of
online ^nn+++??+=online
problem ^nn++++=problem-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reception ^nn++++=reception
area ^nn++++=area
was ^vbd+bedz+aux++=was
redesigned ^vpsv++agls+xvbnx+=redesigned,
, ^zz++++=EXTRAWORD
ensuring ^vbg+vprv++xvbg+=ensuring
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing.
. ^zz++++=EXTRAWORD
safety ^nn++++=Safety
measures ^nns++++=measures
follow ^vb+vprv+++=follow
the ^ati++++=the
australia ^np++++=Australia
dental ^jj+atrb+++=Dental
association ^nn++++=Association.
. ^zz++++=EXTRAWORD
