Proposed ^vbd+vsua++xvbn+=Proposed
in ^in++++=in
1948 ^cd+date+++=1948,
, ^zz++++=EXTRAWORD
the ^ati++++=the
family ^nn++++=family
Ganodermataceae ^np+++??+=Ganodermataceae
( ^zz++++=(Donk)
donk ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Donk ^np+++??+=Donk
has ^vbz+hvz+vrb++=has
approximately ^rb+down+++=approximately
220 ^cd++++=220
species ^nns++++=species
described ^vbd+++xvbn+=described,
, ^zz++++=EXTRAWORD
distributed ^xvbn+++xvbn+=distributed
into ^in++++=into
seven ^cd++++=seven
genera ^nns++++=genera
( ^zz++++=(Amauroderma
amauroderma ^nn+++??+=EXTRAWORD
Murrill ^np+++??+=Murrill,
, ^zz++++=EXTRAWORD
Foraminispora ^np+++??+=Foraminispora
Robledo ^np+++??+=Robledo,
, ^zz++++=EXTRAWORD
Costa ^np++++=Costa-Rezende
- ^zz++++=EXTRAWORD
rezende ^nn+++??+=EXTRAWORD
& ^zz++++=&
Drechslersantos ^np+++??+=DrechslerSantos,
, ^zz++++=EXTRAWORD
Furtadoa ^np+++??+=Furtadoa
Costa ^np++++=Costa-Rezende,
- ^zz++++=EXTRAWORD
rezende ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Robledo ^np+++??+=Robledo
& ^zz++++=&
Drechsler ^np+++??+=Drechsler-Santos,
- ^zz++++=EXTRAWORD
santos ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ganoderma ^np+++??+=Ganoderma
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Karst ^np+++??+=Karst.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Haddowia ^np+++??+=Haddowia
Steyaert ^np+++??+=Steyaert,
, ^zz++++=EXTRAWORD
Humphreya ^np+++??+=Humphreya
Steyaert ^np+++??+=Steyaert
and ^cc++++=and
Tomophagus ^np+++??+=Tomophagus
Murrill ^np+++??+=Murrill)
) ^zz++++=EXTRAWORD
( ^zz++++=(Ryvarden
ryvarden ^nn+++??+=EXTRAWORD
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
Kirk ^np+++??+=Kirk
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
Costarezende ^np+++??+=CostaRezende
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Considered ^vpbn+vprv++xvbn+=Considered
cosmopolitan ^jj++++=cosmopolitan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
family ^nn++++=family
has ^vbz+hvz+vrb++=has
as ^in++++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
characteristic ^nn++++=characteristic
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
double ^jj++++=double-walled
- ^zz++++=EXTRAWORD
walled ^jj+atrb+++=EXTRAWORD
basidiospores ^nns+++??+=basidiospores,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
inner ^jjb+atrb+++=inner
wall ^nn++++=wall
thick ^jj++++=thick
and ^cc+phrs+++=and
ornamented ^jj+++xvbn+=ornamented
and ^cc++++=and
the ^ati++++=the
outer ^jjb++++=outer
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
distinguishing ^jj+++xvbg+=distinguishing
it ^pp3+it+++=it
from ^in++++=from
other ^ap++++=other
polyporoid ^nn+++??+=polyporoid
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
The ^ati++++=The
basidiospore ^nn+++??+=basidiospore
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
globular ^nn+++??+=globular
and ^cc++++=and
ellipsoid ^nn+++??+=ellipsoid
shapes ^nns++++=shapes
with ^in++++=with
pigmentation ^nn+++??+=pigmentation
( ^zz++++=(Gilbertson
gilbertson ^nn+++??+=EXTRAWORD
& ^zz++++=&
Ryvarden ^np+++??+=Ryvarden
1986 ^cd+date+++=1986,
, ^zz++++=EXTRAWORD
Ryvarden ^np+++??+=Ryvarden
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
Cannon ^nn++++=Cannon
& ^zz++++=&
Kirk ^np+++??+=Kirk
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
hardness ^nn++++=hardness
of ^in++++=of
the ^ati++++=the
pileus ^nns+++??+=pileus,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
Ganodermataceae ^np+++??+=Ganodermataceae
species ^nn++++=species
( ^zz++++=(Ryvarden
ryvarden ^nn++++=EXTRAWORD
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
gugliotta ^np++++=Gugliotta
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
