Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
humans ^nns++++=humans
had ^vb+hv+vrb++=had
smaller ^jjr+atrb+++=smaller
moments ^nns++++=moments,
, ^zz++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
power ^nn++++=power
at ^in++++=at
matched ^vbd+++xvbn+=matched
dimensional ^nn+++??+=dimensional
speed ^nn++++=speed
than ^in++++=than
at ^rb++++=at
matched ^xvbn+++xvbn+=matched
dimensionless ^nns+++??+=dimensionless
speed ^nn++++=speed.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interspecific ^nn+++??+=interspecific
differences ^nns++++=differences
in ^in++++=in
dimensional ^nn+++??+=dimensional
positive ^jj+atrb+++=positive
mechanical ^jj+atrb+++=mechanical
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
output ^nn++++=output
were ^vbd+bed+vrb++=were
consistently ^rb++++=consistently
larger ^jjr+pred+++=larger,
, ^zz++++=EXTRAWORD
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
the ^ati++++=the
second ^od++++=second
double ^jj++++=double-support
- ^zz++++=EXTRAWORD
support ^nn++++=EXTRAWORD
period ^nn++++=period
positive ^jj+atrb+++=positive
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
( ^zz++++=(
Som ^np++++=SOM
Figs ^nns++++=Figs.
. ^zz++++=EXTRAWORD
S2 ^np+++??+=S2
S8 ^np+++??+=S8
; ^zz++++=;
Som ^np+++??+=SOM
Tables ^nns++++=Tables
S2 ^np+++??+=S2
S5 ^np+++??+=S5
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
positive ^jj+atrb+++=positive
mechanical ^jj+atrb+++=mechanical
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
output ^nn++++=output
were ^vbd+bed+vrb++=were
more ^rbr++++=more
similar ^jj+pred+++=similar
between ^in++++=between
species ^nns++++=species
than ^in++++=than
at ^rb++++=at
the ^ati++++=the
relative ^jj++++=relative-speed
- ^zz++++=EXTRAWORD
speed ^nn++++=EXTRAWORD
match ^nn++++=match
( ^zz++++=(
Som ^np++++=SOM
Fig ^nn++++=Fig
S5 ^np+++??+=S5
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
human ^jj++++=human
3 ^zz++++=3-D
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
joint ^jjb+atrb+++=joint
moments ^nns++++=moments
and ^cc++++=and
powers ^nns++++=powers
had ^vb+hv+vrb++=had
similar ^jj+atrb+++=similar
profiles ^nns++++=profiles
at ^in++++=at
1.08 ^cd++++=1.08
ms ^nn++++=ms
1 ^zz++++=1
and ^cc++++=and
1.66 ^cd++++=1.66
ms ^nn++++=ms
1 ^zz++++=1
. ^zz++++=.
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
the ^ati++++=the
interspecific ^nn+++??+=interspecific
difference ^nn++++=difference
in ^in++++=in
total ^jj+atrb+++=total
mechanical ^jj+atrb+++=mechanical
work ^nn++++=work
and ^cc++++=and
power ^nn++++=power
was ^vbd+bedz+vrb++=was
much ^ap++++=much
larger ^jjr++++=larger
( ^zz++++=(H
